,n,xray_native_5_0+xray_native_5_1_mean,xray_native_5_0+xray_native_5_1_std,ff_mean,ff_std,rmsd_mean,rmsd_std,xray_native_5_0+xray_native_5_1_50,xray_native_5_0+xray_native_5_1_25,xray_native_5_0+xray_native_5_1_75,ff_50,ff_25,ff_75,rmsd_50,rmsd_25,rmsd_75
10,11,9.016451929955046,0.16598688656535301,16785.4713029834,4328.597317959406,,,9.008442148936613,8.912305446565455,9.130393433601416,16195.411091819586,13747.344268182856,18901.455020710622,,,
11,12,9.00066889369514,0.16104206627328685,16656.34813511735,4279.931677201401,,,8.984897844441232,8.89921692553769,9.11320985707098,15970.534818282642,13582.893797060631,18897.99652136044,,,
12,13,8.988873635300287,0.15388814383867627,16673.454150417576,4270.223326939168,,,8.969528347757397,8.889729417913827,9.097844922787846,15998.844199529272,13507.14312333955,18901.455020710622,,,
13,14,8.979571501044676,0.15177358622661377,16640.299219331326,4158.969455108829,,,8.963670726249294,8.889147442874634,9.083295895208774,16101.60430619909,13582.893797060631,18901.455020710622,,,
14,15,8.96929959648622,0.1491910384314694,16520.867538654376,4148.442144939196,,,8.951384723301679,8.879951970832227,9.064987006250124,15934.289925727177,13507.14312333955,18667.88107264299,,,
15,16,8.962501981493114,0.1479392883207371,16508.656878930604,4190.605966950651,,,8.946309805095005,8.879350038772515,9.060596250636118,15934.289925727177,13507.14312333955,18685.288796724817,,,
16,17,8.953570373330654,0.14325634757856162,16439.155047869524,4147.556102666889,,,8.944953126342833,8.870388066834362,9.053113711556112,15749.978926711256,13507.14312333955,18600.751137933745,,,
17,18,8.945016638256545,0.1406326880602503,16342.097161465392,4050.3734316502,,,8.938838812375426,8.854128268206427,9.043094389130063,15703.01201661906,13507.14312333955,18503.210818692867,,,
18,19,8.939711124925465,0.13877525577022898,16280.68603582499,4011.282342286754,,,8.938087956215135,8.854118446054166,9.037528066102537,15657.174017774048,13466.139520803868,18498.77712509231,,,
19,20,8.932377431814178,0.1356446809137867,16243.192713310782,4012.053413503463,,,8.935162063859316,8.85408897959738,9.027701749457147,15657.174017774048,13443.054308573588,18378.138478628924,,,
20,21,8.923956803032354,0.13314468956533634,16179.087951654807,3991.045957638693,,,8.934005522572722,8.852728969638655,9.011124675342874,15607.513007981555,13443.054308573588,18295.35547803972,,,
21,22,8.917812254025836,0.1310055308802847,16123.221107977872,3874.2098671141284,,,8.932990657722685,8.845246698614947,8.995482270544077,15552.366551837873,13443.054308573588,18295.35547803972,,,
22,23,8.912516756613652,0.12981085206680934,16117.460585068193,3877.5778510692476,,,8.929894357703112,8.845246698614947,8.987027800521615,15607.513007981555,13443.054308573588,18378.138478628924,,,
23,24,8.906628499571248,0.1277169544481165,16100.72388246982,3859.6875499036855,,,8.916992134783225,8.842232378365033,8.97423784429817,15607.513007981555,13443.054308573588,18378.138478628924,,,
24,25,8.901142815011658,0.1255437911902797,16132.799610221291,3841.0155882110125,,,8.912305446565455,8.842232378365033,8.964968846169809,15607.513007981555,13443.054308573588,18378.138478628924,,,
25,26,8.896717936598343,0.1237101649528523,16190.95529682677,3931.9877123773035,,,8.901424949439882,8.81855856230478,8.963670726249294,15607.513007981555,13460.368217746298,18378.138478628924,,,
26,27,8.893335142800622,0.12338579280883334,16158.957862517882,3902.302907580051,,,8.89921692553769,8.808504270424075,8.961383093685168,15552.366551837873,13460.368217746298,18295.35547803972,,,
27,28,8.888847385598735,0.12252645691081394,16130.446502844545,3847.5610594181803,,,8.896110134362758,8.808504270424075,8.961208794066659,15497.220095694189,13460.368217746298,18008.564881891136,,,
28,29,8.884195493165043,0.12071257998471999,16036.982284282698,3798.9065276137717,,,8.889729417913827,8.801239225565407,8.948732685621941,15497.220095694189,13443.054308573588,17779.141270611944,,,
29,30,8.878690453888222,0.12004196051812216,15976.36618995146,3755.903927387648,,,8.889147442874634,8.801239225565407,8.946309805095005,15434.124868343775,13443.054308573588,17742.41683113945,,,
30,31,8.875535153753846,0.11949155319156646,15965.084049065546,3793.181821325349,,,8.889147442874634,8.798088592994253,8.945666960902425,15434.124868343775,13443.054308573588,17439.922584306783,,,
31,32,8.8710740011194,0.1177778513562578,15966.722816530464,3777.784273988087,,,8.886808928623221,8.798088592994253,8.943108175590847,15434.124868343775,13443.054308573588,17515.54614601495,,,
32,33,8.868472730774416,0.11773577311953917,15989.45164501433,3763.761812693558,,,8.879951970832227,8.798088592994253,8.940242085582693,15497.220095694189,13443.054308573588,17742.41683113945,,,
33,34,8.865729878332187,0.11698114538635679,15911.334286853371,3687.777897710282,,,8.879951970832227,8.798088592994253,8.938838812375426,15434.124868343775,13443.054308573588,17439.922584306783,,,
34,35,8.862501881601721,0.11579566064438887,15902.141155636482,3614.9659843372765,,,8.879350038772515,8.796003314562729,8.938087956215135,15497.220095694189,13443.054308573588,17439.922584306783,,,
35,36,8.85893615995539,0.11472274576909487,15834.862372820598,3547.9252983088736,,,8.879350038772515,8.796003314562729,8.935838892698992,15434.124868343775,13443.054308573588,17439.922584306783,,,
36,37,8.85666378005638,0.11388246042970397,15832.71164847295,3591.6640334046665,,,8.870388066834362,8.796003314562729,8.935838892698992,15434.124868343775,13443.054308573588,17439.922584306783,,,
37,38,8.853832242905638,0.11247836950267692,15847.72193453021,3567.809095814659,,,8.870388066834362,8.796003314562729,8.935162063859316,15434.124868343775,13443.054308573588,17439.922584306783,,,
38,39,8.852099963346927,0.11241339496952024,15850.064260692587,3558.329598436814,,,8.870388066834362,8.796003314562729,8.935162063859316,15434.124868343775,13443.054308573588,17439.922584306783,,,
39,40,8.849918638476986,0.11148873360473355,15838.86511896339,3555.674139953937,,,8.854128268206427,8.762685277378983,8.93418365765641,15434.124868343775,13443.054308573588,17439.922584306783,,,
40,41,8.847005338340239,0.11005103001662069,15831.341774843786,3557.860049941826,,,8.854128268206427,8.762685277378983,8.934005522572722,15434.124868343775,13443.054308573588,17439.922584306783,,,
41,42,8.84537477606979,0.10959317052924057,15803.74100436445,3541.4474452624454,,,8.854128268206427,8.762685277378983,8.933834492626945,15434.124868343775,13443.054308573588,17439.922584306783,,,
42,43,8.843763958024612,0.10821763303327706,15807.989873929751,3509.1573408598433,,,8.854128268206427,8.762685277378983,8.93320161644875,15434.124868343775,13443.054308573588,17439.922584306783,,,
43,44,8.841791204795603,0.10766651160327817,15782.268756846832,3501.8478959898516,,,8.85408897959738,8.762685277378983,8.932990657722685,15434.124868343775,13443.054308573588,17266.540115121767,,,
44,45,8.839596204576596,0.1075352962510659,15769.615747069949,3508.190549949671,,,8.85408897959738,8.762685277378983,8.929894357703112,15434.124868343775,13443.054308573588,17208.745958726762,,,
45,46,8.837712344546633,0.10799801741821519,15765.985607845687,3539.457428519719,,,8.852728969638655,8.752211156812495,8.916992134783225,15434.124868343775,13443.054308573588,17208.745958726762,,,
46,47,8.835308118225868,0.10751588504118081,15744.966912170301,3540.5060364501537,,,8.852728969638655,8.72078879511303,8.913691543574005,15386.291284584822,13443.054308573588,17208.745958726762,,,
47,48,8.834173504943452,0.10720065346661874,15731.579788922185,3518.2574177621354,,,8.852728969638655,8.72078879511303,8.912305446565455,15306.05829747272,13443.054308573588,17208.745958726762,,,
48,49,8.830676860084816,0.107040727775797,15546.279738179977,3479.074688365154,,,8.845246698614947,8.72078879511303,8.916992134783225,15073.268045959308,13443.054308573588,16837.29602312724,,,
49,50,8.829591309716402,0.10667478131380716,15528.710287086953,3444.7701983313573,,,8.845246698614947,8.72078879511303,8.913691543574005,15073.268045959308,13443.054308573588,16837.29602312724,,,
50,51,8.828419233593667,0.10635490426162297,15538.62672746727,3437.0680227503044,,,8.845246698614947,8.72078879511303,8.913691543574005,15073.268045959308,13443.054308573588,16837.29602312724,,,
51,52,8.827450299439338,0.10589293885283575,15527.693825731098,3388.7502804836363,,,8.84373953848999,8.72078879511303,8.912305446565455,15073.268045959308,13443.054308573588,16837.29602312724,,,
52,53,8.824492760733715,0.10551905650701611,15504.991891187497,3379.1327088624207,,,8.842232378365033,8.72078879511303,8.912305446565455,15073.268045959308,13443.054308573588,16837.29602312724,,,
53,54,8.82307914016613,0.1045667074400594,15501.484040265846,3339.3944245390703,,,8.842232378365033,8.72078879511303,8.906368949522804,15073.268045959308,13443.054308573588,16837.29602312724,,,
54,55,8.821201182406657,0.10301707905489225,15444.267573841276,3301.0871376179666,,,8.842232378365033,8.72078879511303,8.901424949439882,15073.268045959308,13443.054308573588,16837.29602312724,,,
55,56,8.820490143808007,0.1029600952620457,15411.915355921601,3216.3482750040916,,,8.842232378365033,8.72078879511303,8.899768931513238,15073.268045959308,13443.054308573588,16730.65758335802,,,
56,57,8.81936844481604,0.1019587511786075,15429.26852290412,3231.417600852468,,,8.842232378365033,8.72078879511303,8.89921692553769,15073.268045959308,13443.054308573588,16837.29602312724,,,
57,58,8.817829887204754,0.10210655777047577,15419.369413318886,3213.0620465015536,,,8.842232378365033,8.72078879511303,8.896110134362758,15073.268045959308,13443.054308573588,16837.29602312724,,,
58,59,8.81699307793772,0.10202888869808266,15416.982633886251,3215.9035658189346,,,8.81855856230478,8.72078879511303,8.896110134362758,15073.268045959308,13443.054308573588,16837.29602312724,,,
59,60,8.815674410677007,0.10166826777513435,15400.163936719311,3197.9135414532843,,,8.81855856230478,8.72078879511303,8.89132459702606,15073.268045959308,13443.054308573588,16695.111436768282,,,
60,61,8.81423295484946,0.101158778856901,15425.342010772887,3194.089540033665,,,8.81855856230478,8.720139982538177,8.889729417913827,15073.268045959308,13443.054308573588,16837.29602312724,,,
61,62,8.812557557250173,0.10127270931839395,15419.50121200851,3189.6261850041396,,,8.81855856230478,8.718193544813616,8.889729417913827,15073.268045959308,13443.054308573588,16837.29602312724,,,
62,63,8.811545568995504,0.10100194250035725,15404.453564875686,3188.1538028561718,,,8.81855856230478,8.718193544813616,8.889147442874634,15073.268045959308,13443.054308573588,16837.29602312724,,,
63,64,8.810245975365149,0.10075980667387079,15389.972603221797,3177.2240890293438,,,8.81855856230478,8.718193544813616,8.889147442874634,15073.268045959308,13443.054308573588,16695.111436768282,,,
