,N,J,w_xray,r_free,w_0_7mhl,r_work_7mhl,ff,pdb,cif_0,r_free_7mhm,r_work_7mhm,cif_1,w_1_7mhl,w_2_7mhl,w_3_7mhl,w_4_7mhl,w_5_7mhl,w_6_7mhl,w_7_7mhl
31,2.0,1.0,16.0,0.1825743117258258,0.5,0.1427629541183047,147736.43714758632,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/31/output_20/pdbs/21.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.5,,,,,,
32,2.0,1.0,32.0,0.1819248994508436,0.5,0.1425112251521888,191694.0072783672,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/32/output_0/pdbs/19.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.5,,,,,,
33,2.0,2.0,0.03125,0.3125680929519236,0.5,0.3176477723432198,2443.993227645416,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/33/output_5/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.3353444256546216,0.3383620863614017,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.5,,,,,,
34,2.0,2.0,0.0625,0.2802770114378391,0.5,0.281204142693469,3334.252274318469,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/34/output_14/pdbs/20.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2759252565416046,0.2749979263860545,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.5,,,,,,
35,2.0,2.0,0.125,0.2361933763544524,0.5,0.23641618558696,3328.609115903216,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/35/output_19/pdbs/89.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2360197475019003,0.2289988870173098,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.5,,,,,,
36,2.0,2.0,0.25,0.2173691228174049,0.5,0.2159257714826408,3329.7963013930303,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/36/output_0/pdbs/26.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2083804859080808,0.2022754202884756,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.5,,,,,,
37,2.0,2.0,0.5,0.215934698216006,0.5,0.2103176315298147,3751.0061346472576,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/37/output_3/pdbs/103.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.1905522158478257,0.1788739404287295,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.5,,,,,,
38,2.0,2.0,1.0,0.2376766856832291,0.5,0.2311188687545937,6686.815566104393,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/38/output_13/pdbs/7.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.1987357025048287,0.1771056232314273,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.5,,,,,,
39,2.0,2.0,2.0,0.2549927873537672,0.5,0.25035533939291,66966.87333420741,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/39/output_19/pdbs/36.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.1689665839278083,0.1333511162842841,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.5,,,,,,
40,2.0,2.0,4.0,0.2591820963660104,0.5,0.2525068181360033,143942.72090182285,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/40/output_3/pdbs/21.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.1715106471823275,0.1317381588513669,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,0.5,,,,,,
