,n,xray_native_0+xray_native_1_mean,xray_native_0+xray_native_1_std,ff_mean,ff_std,rmsd_mean,rmsd_std,xray_native_0+xray_native_1_50,xray_native_0+xray_native_1_25,xray_native_0+xray_native_1_75,ff_50,ff_25,ff_75,rmsd_50,rmsd_25,rmsd_75
33,34,7.859792223231219,0.13009481746983662,9681.783511433554,3531.04643686403,0.08340429369740003,0.03319649417343953,7.849735188497722,7.779617933071989,7.950969327440992,9047.850433446209,6898.705802894397,11780.453191102535,0.0854523291591858,0.0518500815347009,0.1106599333568021
34,35,7.856633550706988,0.12934886795707787,9705.875336794072,3526.815443419457,0.08318821877251772,0.03318051221134447,7.848760972155574,7.779617933071989,7.950969327440992,9047.850433446209,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1103936005289642
35,36,7.853634712266001,0.12720451056653914,9685.809217306674,3519.165466655102,0.08308877286880202,0.0332172879996506,7.848760972155574,7.779617933071989,7.948993432287941,9047.850433446209,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1103048229196849
36,37,7.850398460674456,0.12532872167752826,9711.42512175848,3508.6826175773012,0.08313922892803877,0.03323070653732936,7.842125461282009,7.779617933071989,7.941634613437188,9047.850433446209,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1103048229196849
37,38,7.845077786858206,0.12500916796345035,9697.972053864236,3489.0068708134436,0.08279935975377252,0.03303586611675289,7.842125461282009,7.7790217452327965,7.941634613437188,9047.850433446209,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1103048229196849
38,39,7.842194675895397,0.1240478763683246,9726.521459913472,3525.2847743852226,0.08231806588660305,0.03275635969793171,7.839512757513384,7.7790217452327965,7.931194667776101,9047.850433446209,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1084406120820728
39,40,7.840268471216297,0.12423552468312715,9717.445138349063,3510.772253615645,0.0824581613198879,0.03298587035906439,7.839512757513384,7.7790217452327965,7.929639575152874,9047.850433446209,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1103048229196849
40,41,7.836261021765759,0.12287168910511503,9754.227881598528,3525.8619368529276,0.08245127766936663,0.03278227356356252,7.839512757513384,7.7790217452327965,7.899018021100976,9070.23334619271,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.10890666479147582
41,42,7.8342238932444905,0.12227888037760153,9750.193612842697,3503.2141114831034,0.08246411131093742,0.03276313161582899,7.816063713503277,7.7790217452327965,7.899018021100976,9070.23334619271,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.10890666479147582
42,43,7.829552650549145,0.12319306816912708,9759.987495954298,3491.5431078667857,0.08247163743756233,0.032819360380112475,7.803650224285391,7.767832414341771,7.899018021100976,9070.23334619271,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1084406120820728
43,44,7.827110982414406,0.12224162724449161,9761.13770659929,3492.359238651549,0.08252839418832426,0.03285171678779683,7.803650224285391,7.767832414341771,7.898064953995691,9070.23334619271,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1084406120820728
44,45,7.824964226312919,0.12123341496721826,9777.182438390417,3482.3080461225204,0.08242957284990647,0.032860333180907524,7.803650224285391,7.767832414341771,7.897976754081474,9070.23334619271,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.10890666479147582
45,46,7.823470784140688,0.12102127087568708,9815.905619549669,3480.112547218486,0.08226600185291331,0.032830964684999235,7.803650224285391,7.766440416426043,7.895251955106102,9070.23334619271,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1084406120820728
46,47,7.820659040344742,0.11914952406735306,9835.696739431232,3466.7018939633517,0.08222851295126361,0.03293246047526709,7.803650224285391,7.766440416426043,7.891158753088553,9070.23334619271,6940.147861642295,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1103048229196849
47,48,7.818810006895309,0.1182617594300377,9857.95432038278,3496.189603465657,0.08202044409390614,0.03284410598517676,7.803650224285391,7.766440416426043,7.885746641673807,9070.23334619271,6946.634228866595,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1084406120820728
48,49,7.813523075058097,0.12301028142085037,9829.820131559158,3629.63088110567,0.08152543571460732,0.03120207167608379,7.794704287139584,7.74260877378903,7.891158753088553,9070.23334619271,6898.705802894397,11942.663492657071,0.0841481662433761,0.0519678136759854,0.1084406120820728
49,50,7.811038514413003,0.12179143509975733,9839.494701224632,3619.3575270150427,0.08152328228712312,0.031034659398732824,7.794244707761496,7.74260877378903,7.885746641673807,9070.23334619271,6898.705802894397,11821.00576649117,0.0841481662433761,0.0518500815347009,0.1084406120820728
50,51,7.808927183945277,0.1210226576334482,9862.489601592128,3606.9793511807616,0.08115895015679818,0.030581529312123882,7.794244707761496,7.74260877378903,7.885746641673807,9070.23334619271,6898.705802894397,11780.453191102535,0.0841481662433761,0.0516952221208811,0.1084406120820728
51,52,7.807177213713452,0.12067381999122372,9866.02875002631,3602.166854239596,0.08100199249122227,0.030602755939994567,7.794244707761496,7.74260877378903,7.882873245532506,9070.23334619271,6898.705802894397,11780.453191102535,0.0841481662433761,0.0516952221208811,0.1084406120820728
52,53,7.804995510781885,0.11974231987481584,9826.250484661085,3607.2009185867673,0.08100173341984952,0.030581678512506236,7.786280003511941,7.74260877378903,7.874283969955782,9070.23334619271,6898.705802894397,11780.453191102535,0.0841481662433761,0.0516952221208811,0.1084406120820728
53,54,7.802948387373514,0.11922994312023306,9861.374983913294,3603.678376878598,0.08128014512351983,0.030779042330317734,7.786280003511941,7.74260877378903,7.874283969955782,9291.639531438772,6898.705802894397,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1084406120820728
54,55,7.800840729844566,0.11832172246108165,9886.419839533204,3618.7035102325526,0.08109730872023216,0.030802054291223707,7.786280003511941,7.74260877378903,7.873623361116901,9291.639531438772,6898.705802894397,11821.00576649117,0.08480024770128095,0.0516952221208811,0.1084406120820728
55,56,7.7998662849105385,0.11766874881570417,9913.954341902818,3627.8460614314877,0.08131933809041156,0.030812831329895266,7.786280003511941,7.74260877378903,7.873623361116901,9291.639531438772,6898.705802894397,11942.663492657071,0.0854523291591858,0.0516952221208811,0.1084406120820728
56,57,7.797705787268634,0.1170345614339407,9896.32529045241,3624.534738862414,0.08153595631049759,0.03085970580198679,7.786280003511941,7.74260877378903,7.8691192638826335,9291.639531438772,6898.705802894397,11821.00576649117,0.0854523291591858,0.0516952221208811,0.1084406120820728
57,58,7.795624975353316,0.11679044879694979,9925.23419887665,3636.2129748014363,0.08137107422059588,0.030721281386289094,7.784624563754726,7.736012142989848,7.8691192638826335,9291.639531438772,6898.705802894397,11942.663492657071,0.0854523291591858,0.0516952221208811,0.1084406120820728
58,59,7.793962719855207,0.11625697273665246,9940.477408691882,3610.1002632664363,0.08153597314372071,0.030594286766752445,7.784624563754726,7.736012142989848,7.8691192638826335,9291.639531438772,6946.634228866595,11821.00576649117,0.0854523291591858,0.0516952221208811,0.1084406120820728
59,60,7.791169165480692,0.11602954744451108,9913.535332829273,3599.836072490974,0.0814341258243728,0.03041528246983667,7.784624563754726,7.736012142989848,7.862961984914971,9291.639531438772,6946.634228866595,11780.453191102535,0.0854523291591858,0.0516952221208811,0.1084406120820728
