,n,rmsd_mean,rmsd_std,rmsd_50,rmsd_25,rmsd_75
169,170,0.04387507286259064,0.003666170967295688,0.0421222830025491,0.0413205859753089,0.0441127443530626
170,171,0.04385219543314107,0.0036530952254990126,0.0421222830025491,0.0413205859753089,0.0441127443530626
171,172,0.043825266171232995,0.003623757664859113,0.0421222830025491,0.0413205859753089,0.0441127443530626
172,173,0.04381963565672243,0.003619051172049743,0.0421222830025491,0.0413205859753089,0.0441127443530626
173,174,0.04378360804367495,0.0035776475805654358,0.0421222830025491,0.0413205859753089,0.0441127443530626
174,175,0.04376968168651003,0.0035766185560280966,0.0421222830025491,0.0413205859753089,0.0441127443530626
175,176,0.04373425401887369,0.0035373499330711607,0.0421222830025491,0.0413205859753089,0.0441127443530626
176,177,0.04372489783317818,0.003532700772204857,0.0421222830025491,0.0413205859753089,0.0435088955926098
177,178,0.04371415157994979,0.0035269705568151065,0.0421222830025491,0.0413205859753089,0.0435088955926098
178,179,0.04365950507828221,0.0034816818236785185,0.0421222830025491,0.0413205859753089,0.0435088955926098
179,180,0.043634288140307946,0.0034685480568098946,0.0421222830025491,0.0413205859753089,0.0435088955926098
180,181,0.04362193314146527,0.0034637026339238413,0.0421222830025491,0.0413205859753089,0.0435088955926098
181,182,0.043580159755453735,0.003406821842100707,0.0421222830025491,0.0413205859753089,0.0435088955926098
182,183,0.043567912095318524,0.003394015631485351,0.0421222830025491,0.0413205859753089,0.0435088955926098
183,184,0.043558175284553774,0.003391792149339654,0.0421222830025491,0.0413205859753089,0.0435088955926098
184,185,0.04353796784345497,0.0033707253265260117,0.0421222830025491,0.0413205859753089,0.0435088955926098
185,186,0.043522248992911794,0.003364475360520174,0.0421222830025491,0.0413205859753089,0.0435088955926098
186,187,0.043511888025934975,0.003358244258583302,0.0421222830025491,0.0413205859753089,0.0435088955926098
187,188,0.043476045040684204,0.0033253167858061363,0.0421222830025491,0.0413205859753089,0.0435088955926098
188,189,0.04346754672323839,0.0033194529232992752,0.0421222830025491,0.0413205859753089,0.0435088955926098
189,190,0.04345541068781495,0.0033071312583958555,0.0421222830025491,0.0413205859753089,0.0435088955926098
190,191,0.04344882585277026,0.003308152381854355,0.0421222830025491,0.0413205859753089,0.0435088955926098
191,192,0.04343429819867602,0.0033011428991650306,0.0421222830025491,0.0413205859753089,0.0435088955926098
192,193,0.04336982759103106,0.0031463717693193424,0.0421222830025491,0.0413205859753089,0.0435088955926098
