,xray_0_min_0,xray_0_min_0_rmsd_avg,xray_0_min_0_r_work_0,xray_0_min_0_r_free_0,xray_0_min_0_occ_0,xray_0_min_0_pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_105/log.csv,5.755532237636738,0.5174298121830327,0.2720381712784797,0.2958075691686617,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_105/pdbs/12.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_90/log.csv,5.75751035720455,0.511815768940345,0.2730107014613124,0.2982010498562756,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_90/pdbs/12.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_106/log.csv,5.754363204721694,0.5205357101354704,0.2721510373365175,0.2953190565435561,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_106/pdbs/12.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_93/log.csv,5.756192613943799,0.5257789167878048,0.2735755707977782,0.2954584798191306,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_93/pdbs/13.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_97/log.csv,5.758236803807332,0.5147145473111575,0.2719388461990585,0.2991566779658895,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_97/pdbs/12.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_80/log.csv,5.755604074444839,0.5176794180777058,0.2721333687051709,0.2952693283340183,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_80/pdbs/12.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_88/log.csv,5.759816894672619,0.5039313686671337,0.2730182010253869,0.2996502564454717,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_88/pdbs/11.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_99/log.csv,5.758834928282207,0.5188510505247089,0.2731708452244223,0.3008531795600773,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_99/pdbs/12.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_110/log.csv,5.7586626464975685,0.5189092966956446,0.2732654262891698,0.2979293933650919,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_110/pdbs/12.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_94/log.csv,5.7562919616417005,0.5143332271799803,0.2725415530224491,0.2944171642116741,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/59_7mhj_1/1018127/output_94/pdbs/12.pdb
