,N,J,w_xray,r_free_native_0,r_work_native_0,xray_native_0,rmsd_native_0,r_free_native_1,r_work_native_1,xray_native_1,rmsd_native_1,ff,pdb,w_0_native_0,w_0_native_1,w_1_native_0,w_1_native_1,cif_0,cif_1
34,2.0,1.0,0.0625,,,,,0.2217011762856306,0.200654668326628,4.206748694903894,2.1980963534645954,17795.667411957776,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/34/output_9/pdbs/499.pdb,,0.9219949506995592,,0.0780050493004408,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
35,2.0,1.0,0.03125,,,,,0.4118050633831809,0.3778584208971013,4.901850028558076,2.39857843567322,31126.738185289643,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/35/output_9/pdbs/499.pdb,,0.0799222715988799,,0.92007772840112,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
36,2.0,2.0,1.0,0.1697243510288796,0.1596058153776784,4.14078230334398,0.0930426578391149,0.1788076453490046,0.1697566729619794,4.211690087097368,0.1091975149251956,4467.2313720449365,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/36/output_0/pdbs/499.pdb,0.1668218035976456,0.6516174972254745,0.8331781964023544,0.3483825027745255,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
37,2.0,2.0,0.5,0.1633067555346454,0.1622024897890856,4.182566459688899,0.1800444339559868,0.1629789146286736,0.1586885831672963,4.16197981237143,0.0978121658696514,3542.860921495207,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/37/output_10/pdbs/499.pdb,0.3894119702796471,0.7369725642993158,0.6105880297203529,0.2630274357006841,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
38,2.0,2.0,0.25,0.1331709590151975,0.1192759301402144,3.880435192235012,0.0957485457354887,0.1144705013896773,0.1063241832114635,3.735081089236238,0.0314284281363495,9455.474584917189,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/38/output_11/pdbs/499.pdb,0.166370491342707,0.857170586995665,0.833629508657293,0.142829413004335,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
39,2.0,2.0,0.125,0.2469107407341154,0.2293656583891593,4.4237307703244495,0.3808802916252483,0.2771635631775064,0.2590518488277811,4.563801492024592,0.8098429944296294,19134.06939045847,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/39/output_14/pdbs/499.pdb,0.0620028747016549,0.8966856706300765,0.937997125298345,0.1033143293699235,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
40,2.0,2.0,0.0625,0.3230185938156748,0.29826998623098,4.689010900643718,0.5181343518020586,0.3394296010656636,0.3293374270663809,4.652118328355196,5.146023450684032,14648.520662519868,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/40/output_2/pdbs/499.pdb,0.0142281818643151,0.172971848062624,0.9857718181356848,0.8270281519373759,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
41,2.0,2.0,0.03125,0.5927762243829139,0.5079638785776117,4.960992983923677,11.059592817237936,0.5979765393615826,0.5101644497452476,4.905077790870325,11.568509498867668,45429.89662433087,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/41/output_4/pdbs/499.pdb,0.2655110589489577,0.3529011964535599,0.7344889410510422,0.6470988035464401,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
42,2.0,1.0,1.0,0.1590497773027156,0.1384045367612664,3.909836595794598,0.1702973398294452,,,,,18623.541212612083,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/42/output_3/pdbs/499.pdb,0.3738095952292434,,0.6261904047707566,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
43,2.0,1.0,0.5,0.1481947091136936,0.1264425765733085,3.85020954622784,0.0572093994582839,,,,,16309.035805742536,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/43/output_9/pdbs/499.pdb,0.6071146655344863,,0.3928853344655137,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
