,xray_0,r_free_0
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/587.pdb,2.852062341683689,0.1742912071083328
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/588.pdb,2.857442302678038,0.1752571489403319
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/586.pdb,2.86143709798386,0.1728131829726122
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/590.pdb,2.8650901368505552,0.1788382990955798
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/593.pdb,2.869286061033837,0.1873192002682662
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_542/pdbs/1585.pdb,2.8723446249571287,0.1565648702063858
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/594.pdb,2.8784304648989583,0.1879591839188178
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_542/pdbs/1584.pdb,2.880964814364148,0.1540339440884763
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_542/pdbs/1587.pdb,2.880970276956827,0.1603590110481675
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_542/pdbs/1588.pdb,2.90350836037919,0.1615852519772976
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/592.pdb,2.905338747205151,0.1849074567468333
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/585.pdb,2.9098816938389125,0.1729189847432599
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_995/pdbs/510.pdb,2.9119283209301727,0.2311446868325367
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_73/pdbs/1356.pdb,2.9144905977995297,0.213634798728414
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_355/pdbs/2187.pdb,2.9211308910985525,0.246205070711645
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/595.pdb,2.92330843516734,0.1885106676977676
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_409/pdbs/1339.pdb,2.925518995120567,0.1552546020633723
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_355/pdbs/2186.pdb,2.926918000328042,0.2472028510598969
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_73/pdbs/1355.pdb,2.955538849428736,0.2123145004552614
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/596.pdb,2.955920359720335,0.1902136444131308
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_542/pdbs/1589.pdb,2.969113921857834,0.1622021036879692
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_838/pdbs/388.pdb,2.970610284987766,0.1820591403075647
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_995/pdbs/509.pdb,2.972062867008699,0.2298548793656954
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_542/pdbs/1583.pdb,2.974488240545589,0.1522429690155702
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_594/pdbs/400.pdb,2.9862974620023137,0.1433121977058543
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_503/pdbs/780.pdb,2.98786462607538,0.1754017964723096
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/597.pdb,2.992154317343303,0.1928071167204664
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/584.pdb,3.012611294568609,0.172069858629094
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_594/pdbs/2178.pdb,3.016094795572392,0.5769254291383556
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_542/pdbs/1590.pdb,3.027198346647768,0.1618247720651139
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_542/pdbs/1599.pdb,3.030670379318137,0.1560541696629178
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_594/pdbs/399.pdb,3.034389145936665,0.14189216682008
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_542/pdbs/1598.pdb,3.0395780761831053,0.1552352649537493
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_838/pdbs/373.pdb,3.040909648917108,0.2035935638077133
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/598.pdb,3.0409632123034545,0.190681094822133
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_355/pdbs/2185.pdb,3.0478919770642547,0.247861938876338
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_838/pdbs/384.pdb,3.0514531978951345,0.1842968009985791
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_838/pdbs/385.pdb,3.0543526379535217,0.1842669155516567
