,r_free_7mhf,ff,pdb,r_work_7mhf,xray_7mhf,w_0_7mhf,N,J,job_id,w_1_7mhf,w_2_7mhf,w_3_7mhf,w_4_7mhf,w_5_7mhf,w_6_7mhf,w_7_7mhf,w_8_7mhf,w_9_7mhf,w_10_7mhf,w_11_7mhf,w_12_7mhf,w_13_7mhf,w_14_7mhf,w_15_7mhf,r_free_7mhg,r_work_7mhg,xray_7mhg,w_0_7mhg,w_1_7mhg,w_2_7mhg,w_3_7mhg,w_4_7mhg,w_5_7mhg,w_6_7mhg,w_7_7mhg,w_8_7mhg,w_9_7mhg,w_10_7mhg,w_11_7mhg,w_12_7mhg,w_13_7mhg,w_14_7mhg,w_15_7mhg,r_free_7mhh,r_work_7mhh,xray_7mhh,w_0_7mhh,w_1_7mhh,w_2_7mhh,w_3_7mhh,w_4_7mhh,w_5_7mhh,w_6_7mhh,w_7_7mhh,w_8_7mhh,w_9_7mhh,w_10_7mhh,w_11_7mhh,w_12_7mhh,w_13_7mhh,w_14_7mhh,w_15_7mhh,r_free_7mhi,r_work_7mhi,xray_7mhi,w_0_7mhi,w_1_7mhi,w_2_7mhi,w_3_7mhi,w_4_7mhi,w_5_7mhi,w_6_7mhi,w_7_7mhi,w_8_7mhi,w_9_7mhi,w_10_7mhi,w_11_7mhi,w_12_7mhi,w_13_7mhi,w_14_7mhi,w_15_7mhi,r_free_7mhj,r_work_7mhj,xray_7mhj,w_0_7mhj,w_1_7mhj,w_2_7mhj,w_3_7mhj,w_4_7mhj,w_5_7mhj,w_6_7mhj,w_7_7mhj,w_8_7mhj,w_9_7mhj,w_10_7mhj,w_11_7mhj,w_12_7mhj,w_13_7mhj,w_14_7mhj,w_15_7mhj,r_free_7mhk,r_work_7mhk,xray_7mhk,w_0_7mhk,w_1_7mhk,w_2_7mhk,w_3_7mhk,w_4_7mhk,w_5_7mhk,w_6_7mhk,w_7_7mhk,w_8_7mhk,w_9_7mhk,w_10_7mhk,w_11_7mhk,w_12_7mhk,w_13_7mhk,w_14_7mhk,w_15_7mhk
20,,6591.517783596714,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/20/output_6/pdbs/1.pdb,,,,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2486126023076283,0.184914049678656,5.314074809783224,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,13912.14695842112,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/21/output_7/pdbs/1.pdb,,,,2,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2480626047578246,0.1804141647375892,5.302110490876828,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,28564.55170083677,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/22/output_2/pdbs/1.pdb,,,,4,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2483364650132364,0.180408544695402,5.299306103914497,0.25,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,58647.4188059923,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/23/output_7/pdbs/1.pdb,,,,8,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2474037429450611,0.180195641422685,5.2941847333751815,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,117563.7843649938,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/24/output_1/pdbs/1.pdb,,,,16,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249000826529228,0.1815161682161456,5.298774381561743,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,,,,,,,,,,,,,,,,,,
25,,5975.927469767557,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/25/output_4/pdbs/490.pdb,,,,1,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2686593325960641,0.1997859803777437,5.208329323580024,1.0,,,,,,,,,,,,,,,
26,,11373.010843575255,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/26/output_0/pdbs/41.pdb,,,,2,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269356132886272,0.1850070410529743,5.119598833494475,0.5,0.5,,,,,,,,,,,,,,
27,,32303.98641496601,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/27/output_5/pdbs/1.pdb,,,,4,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2691614134907226,0.1903952212983854,5.183964425668332,0.25,0.25,0.25,0.25,,,,,,,,,,,,
28,,65471.28507929098,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/28/output_0/pdbs/1.pdb,,,,8,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2695953719631864,0.1898860460874623,5.181532152941321,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,
29,,131087.16207891292,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/29/output_2/pdbs/1.pdb,,,,16,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2722083857477074,0.190721986938835,5.18497724699981,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
