,log_file,tot_min,tot_min_id,tot_mean,rmsd_min,rmsd_min_id,rmsd_mean,tot_min_rmsd,tot_min_rmsd_align
812,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_825/log.csv,159716.73911615222,12168,159853.96740023844,0.2635978188732815,10750,0.2795716507658239,0.2801890155776615,0.276008870037263
813,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_823/log.csv,159739.19535996483,7047,159867.92871951248,0.2765677302263176,5668,0.292762370634117,0.2843216527022755,0.2823174733120184
814,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_795/log.csv,159746.3443538167,6208,159869.7341796158,0.2761016885373604,3508,1.0735307615449612,1.0912383455204606,0.2801367176276201
815,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_763/log.csv,159718.3291025564,4034,159829.31582399324,0.3278207873414958,2216,0.36812348214435003,0.3701187960193482,0.2557391755801939
816,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_791/log.csv,159723.65060986223,10499,159833.42815335485,0.3657392013617367,8563,0.4018393807400727,0.4027045869492723,0.2729763954233309
817,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_755/log.csv,159726.6177365203,8733,159869.85552330167,0.6523117725208667,11663,0.7226050677219855,0.7140786076427821,0.2511892232568618
818,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_710/log.csv,159736.41142503746,7672,159867.64482743462,0.280258430992299,7865,0.32810553996106345,0.3614785836130491,0.2466964491359528
819,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_705/log.csv,159720.51123759418,4822,159852.86478426293,0.2656256105595977,13522,0.27895215010568947,0.2729608734516415,0.2691141124196938
820,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_727/log.csv,159730.08470852868,3003,159848.43667663325,0.363719996142454,8589,0.4268451534482795,0.4371059876881759,0.2826527077860835
821,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_750/log.csv,159710.39753798113,11103,159854.90131586292,1.1113862069945095,10419,1.1818546650449917,1.172673875882965,0.2442864697530884
822,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_822/log.csv,159720.68171464527,13168,159848.23371043458,0.3174325748671994,1000,0.42867938268172157,0.4287178301447975,0.2869712285384184
823,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_803/log.csv,159716.1818426958,5456,159849.97815584476,0.3026977602521612,7015,0.37179485547724234,0.3753400704114412,0.256402420610093
824,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_785/log.csv,159732.77057348256,8600,159854.5885540565,0.2624852434318839,11779,0.2805335717978517,0.2724019283000916,0.2676218604177446
825,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_779/log.csv,159714.2128899696,13709,159842.29144845586,0.3594492496794846,18185,0.4155427073040654,0.4070442759341734,0.2795074209858912
826,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_778/log.csv,159719.53933339354,7649,159847.55768079605,0.3331231630549865,1016,0.42660275170019135,0.4181700878859983,0.2915911063786587
