,start_pdb_file,cif_0,ref_0,N,J,w_xray,xray_freq,weight_thermo,vel_thermo,refine,sample_sched_str,init_weights
20,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
21,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,2.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
22,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,4.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
23,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,8.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
24,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,16.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
25,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk_no_dms.pdb,1.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
26,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk_no_dms.pdb,2.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
27,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk_no_dms.pdb,4.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
28,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk_no_dms.pdb,8.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
29,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk_no_dms.pdb,16.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
