,N,J,cif_0,ref_0,w_0_0,cif_1,ref_1,w_0_1,cif_2,ref_2,w_0_2,cif_3,ref_3,w_0_3,cif_4,ref_4,w_0_4,cif_5,ref_5,w_0_5,w_xray,sample_sched_str,start_pdb_file
3176,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhg.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhg.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk.pdb,1.0,,,,,,,,,,8.0,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3177,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhg.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhg.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk.pdb,1.0,,,,,,,,,,16.0,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3178,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhg.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhg.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhk.pdb,1.0,,,,,,,,,,32.0,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3179,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,,,,,,,,,,0.03125,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3180,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,,,,,,,,,,0.0625,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3181,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,,,,,,,,,,0.125,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3182,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,,,,,,,,,,0.25,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3183,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,,,,,,,,,,0.5,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3184,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,,,,,,,,,,1.0,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3185,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,,,,,,,,,,2.0,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3186,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,,,,,,,,,,4.0,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3187,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,,,,,,,,,,8.0,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3188,16.0,3.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi.pdb,1.0,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhj.pdb,1.0,,,,,,,,,,16.0,"step3000,T300,dofA,pdb1,w1,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
