,N,J,cif_0,ref_0,w_xray,cif_1,ref_1,sample_sched_str,start_pdb_file,init_weights
11,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.03125,,,"step10000,T300,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
12,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.0625,,,"step10000,T300,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
13,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.125,,,"step10000,T300,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
14,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.25,,,"step10000,T300,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
15,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.5,,,"step10000,T300,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
16,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1.0,,,"step10000,T300,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
17,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2.0,,,"step10000,T300,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
18,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,4.0,,,"step10000,T300,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
19,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,8.0,,,"step10000,T300,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
20,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,16.0,,,"step10000,T300,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
21,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,32.0,,,"step10000,T300,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
22,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.03125,,,"step10000,T3000,dof301-307,pdb1,w0,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
23,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.0625,,,"step10000,T3000,dof301-307,pdb1,w0,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
24,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.125,,,"step10000,T3000,dof301-307,pdb1,w0,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
25,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.25,,,"step10000,T3000,dof301-307,pdb1,w0,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
26,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.5,,,"step10000,T3000,dof301-307,pdb1,w0,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
27,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1.0,,,"step10000,T3000,dof301-307,pdb1,w0,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
28,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2.0,,,"step10000,T3000,dof301-307,pdb1,w0,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
29,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,4.0,,,"step10000,T3000,dof301-307,pdb1,w0,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
30,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,8.0,,,"step10000,T3000,dof301-307,pdb1,w0,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
31,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,16.0,,,"step10000,T3000,dof301-307,pdb1,w0,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
32,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,32.0,,,"step10000,T3000,dof301-307,pdb1,w0,res0",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
33,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.03125,,,"step10000,T3000,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
34,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.0625,,,"step10000,T3000,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
35,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.125,,,"step10000,T3000,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
36,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.25,,,"step10000,T3000,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
37,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,0.5,,,"step10000,T3000,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
38,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1.0,,,"step10000,T3000,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
39,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2.0,,,"step10000,T3000,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
40,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,4.0,,,"step10000,T3000,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
41,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,8.0,,,"step10000,T3000,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
42,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,16.0,,,"step10000,T3000,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
43,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,32.0,,,"step10000,T3000,dof301-307,pdb1,w0,res4",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,uni
