,cif_0,cif_1,init_pdbs,N,ref_N,J,ref_pdbs,ref_0_0,ref_0_1,w_xray,xray_freq,weight_thermo,vel_thermo,refine,sample_sched_str
27,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
28,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
29,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
30,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
31,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
32,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
33,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
34,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
35,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
36,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,1,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
37,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,1,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
38,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,1,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
39,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,1,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
40,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,1,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
41,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,1,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
