,xray_0_min_0,xray_0_min_0_rmsd_avg,xray_0_min_0_r_work_0,xray_0_min_0_r_free_0,xray_0_min_0_pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_31/log.csv,5.122527407597859,0.2794514956652447,0.2163102505946847,0.2860916375883553,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_31/pdbs/188.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_30/log.csv,5.119980270685406,0.2615156730022995,0.2156339174987541,0.285852253450823,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_30/pdbs/194.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_33/log.csv,5.115300858811427,0.2918644535320944,0.2150735228546458,0.2801531785506967,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_33/pdbs/174.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_34/log.csv,5.124906608883206,0.3689536600517377,0.2166854410956122,0.2896442930922006,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_34/pdbs/743.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_52/log.csv,5.117915513773614,0.3531398534625297,0.2158168482460081,0.2818465814280911,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_52/pdbs/175.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_50/log.csv,5.119267971652179,0.3176339680639317,0.2170857171652463,0.2852884998682615,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_50/pdbs/161.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_42/log.csv,5.122542278046219,0.2386333331749585,0.2158871966458039,0.2845493686340887,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_42/pdbs/176.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_59/log.csv,5.114647236701684,0.3193511652223744,0.2136213117739456,0.2820791853090379,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_59/pdbs/148.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_43/log.csv,5.125942759088569,0.2601013525659578,0.2144793511655024,0.2842979386119852,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_43/pdbs/156.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_47/log.csv,5.118208484209233,0.2319075977805359,0.2158681043307836,0.2824269592486763,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_47/pdbs/198.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_53/log.csv,5.127944143788599,0.2548490215057074,0.217681662913544,0.2891027863763001,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_53/pdbs/130.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_55/log.csv,5.119469253395312,0.2456189550959807,0.2144486293465986,0.27766716438358,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_55/pdbs/198.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_58/log.csv,5.119797501276434,0.2700858758156428,0.2154935377489007,0.2830035823192395,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_58/pdbs/124.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_56/log.csv,5.125320896576771,0.2653616839896943,0.2183418127651313,0.2899020510937107,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_56/pdbs/377.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_60/log.csv,5.114862998436228,0.4439664021811678,0.2152536232025896,0.2808992423744688,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_60/pdbs/346.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_45/log.csv,5.118435770025392,0.2828883741696623,0.2153435653393324,0.2813505117354112,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_45/pdbs/190.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_57/log.csv,5.125473762504608,0.2282865907151902,0.2152350030276832,0.2840338357967982,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_57/pdbs/178.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_51/log.csv,5.119026236359737,0.2565286912223938,0.2152645928267643,0.2823278657846356,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_51/pdbs/170.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_48/log.csv,5.1268075939771,0.2519601107330276,0.215955291202697,0.2825663925585051,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_48/pdbs/173.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_54/log.csv,5.122744261363978,0.2951626872021347,0.2155744372513898,0.285039685395368,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_54/pdbs/158.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_44/log.csv,5.121839440960735,0.2569511952114984,0.2169685198664259,0.2810203073868849,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_44/pdbs/134.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_49/log.csv,5.125781758711388,0.2667675780687144,0.2167156131718163,0.2866448095206288,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_49/pdbs/143.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_46/log.csv,5.11988688534744,0.284842856239727,0.2145998557762712,0.2837293007777985,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_46/pdbs/191.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_61/log.csv,5.1245042427533205,0.2402030399890992,0.2167388429513095,0.2842496249265604,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_61/pdbs/197.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_62/log.csv,5.130039921923239,0.221681436366381,0.2176113594356545,0.2894102869836951,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_62/pdbs/141.pdb
