,r_free,ff,pdb,w_0,cif_name,N,J,job_id,cifs,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,exp_delta,ref_delta,ref_ff_delta,job_cif_str
3955,0.2731658217478791,2140.453777253329,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/3955.pdb,1.0,7mhi,1,3,35,"7mhg,7mhi,7mhk",,,,,,,,,,,,,,,,0.045165821747879115,-0.012206465956415669,1042.6123483731863,"7mhg,7mhi,7mhk"
7456,0.2657049915987866,2521.547065048239,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/7456.pdb,1.0,7mhi,1,4,54,"7mhg,7mhi,7mhj,7mhk",,,,,,,,,,,,,,,,0.03770499159878657,-0.019667296105508214,1423.7056361680961,"7mhg,7mhi,7mhj,7mhk"
8219,0.2616172537204642,3400.682681908049,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/8219.pdb,1.0,7mhi,1,5,57,"7mhf,7mhg,7mhh,7mhi,7mhk",,,,,,,,,,,,,,,,0.033617253720464174,-0.02375503398383061,2302.841253027906,"7mhf,7mhg,7mhh,7mhi,7mhk"
9484,0.2505490962802669,6116.415483685402,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9484.pdb,1.0,7mhi,1,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",,,,,,,,,,,,,,,,0.022549096280266884,-0.0348231914240279,5018.57405480526,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
200,0.2977360756488121,910.8295958786196,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/200.pdb,1.0,7mhj,1,1,4,7mhj,,,,,,,,,,,,,,,,0.05773607564881211,0.0,0.0,7mhj
1560,0.2726942398016991,5646.508263950907,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/1560.pdb,1.0,7mhj,1,2,18,"7mhi,7mhj",,,,,,,,,,,,,,,,0.03269423980169911,-0.025041835847113003,4735.678668072288,"7mhi,7mhj"
4342,0.2659876099895918,6734.510880314043,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/4342.pdb,1.0,7mhj,1,3,37,"7mhh,7mhi,7mhj",,,,,,,,,,,,,,,,0.02598760998959182,-0.03174846565922029,5823.681284435424,"7mhh,7mhi,7mhj"
7525,0.2652879255928939,2562.008517905251,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/7525.pdb,1.0,7mhj,1,4,54,"7mhg,7mhi,7mhj,7mhk",,,,,,,,,,,,,,,,0.02528792559289389,-0.03244815005591822,1651.1789220266317,"7mhg,7mhi,7mhj,7mhk"
8707,0.2641962872694136,2387.3133125438994,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/8707.pdb,1.0,7mhj,1,5,59,"7mhf,7mhg,7mhi,7mhj,7mhk",,,,,,,,,,,,,,,,0.024196287269413586,-0.03353978837939853,1476.4837166652799,"7mhf,7mhg,7mhi,7mhj,7mhk"
9538,0.2656522838061255,5282.661360458133,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9538.pdb,1.0,7mhj,1,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",,,,,,,,,,,,,,,,0.025652283806125498,-0.032083791842686615,4371.831764579513,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
256,0.3111072109664338,472.8554187214857,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/256.pdb,1.0,7mhk,1,1,5,7mhk,,,,,,,,,,,,,,,,0.06410721096643379,0.0,0.0,7mhk
1663,0.2806692579329818,4389.532363448275,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/1663.pdb,1.0,7mhk,1,2,19,"7mhi,7mhk",,,,,,,,,,,,,,,,0.03366925793298181,-0.03043795303345198,3916.676944726789,"7mhi,7mhk"
4461,0.2819277410602886,5016.989182961439,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/4461.pdb,1.0,7mhk,1,3,38,"7mhh,7mhi,7mhk",,,,,,,,,,,,,,,,0.03492774106028862,-0.029179469906145172,4544.133764239953,"7mhh,7mhi,7mhk"
7569,0.2694870884174053,2637.96534438789,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/7569.pdb,1.0,7mhk,1,4,54,"7mhg,7mhi,7mhj,7mhk",,,,,,,,,,,,,,,,0.02248708841740532,-0.04162012254902847,2165.1099256664043,"7mhg,7mhi,7mhj,7mhk"
