,joint,r_free_7mhf,xray_7mhf,r_free_7mhg,xray_7mhg,r_free_7mhh,xray_7mhh,r_free_7mhi,xray_7mhi,r_free_7mhj,xray_7mhj,r_free_7mhk,xray_7mhk,pdb,ff,w_0_7mhf,w_1_7mhf,w_0_7mhg,w_1_7mhg,w_0_7mhh,w_1_7mhh,w_0_7mhi,w_1_7mhi,w_0_7mhj,w_1_7mhj,w_0_7mhk,w_1_7mhk
17,11.284258680389714,,,,,0.2644330358616191,5.844216161663343,,,,,0.2664162524255684,5.440042518726371,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/17/output_340/pdbs/272.pdb,12945.749831417734,,,,,0.4156537812643948,0.5843462187356052,,,,,0.4811547499470031,0.5188452500529969
18,10.772523578739467,,,,,,,0.2289152031666044,5.341121484068231,0.2476394120805045,5.4314020946712365,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/18/output_419/pdbs/204.pdb,14068.199973955218,,,,,,,0.5237811672707176,0.4762188327292824,0.4993916563115202,0.5006083436884797,,
19,10.780746641502475,,,,,,,0.2384860579922708,5.376563921165031,,,0.2531821558191611,5.404182720337443,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/19/output_351/pdbs/208.pdb,13420.942542617857,,,,,,,0.5099426399998104,0.4900573600001897,,,0.5070813340780354,0.4929186659219646
20,10.984818640489078,,,,,,,,,0.2672153898829369,5.539039164406854,0.2671823087892541,5.445779476082223,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/20/output_189/pdbs/299.pdb,12377.602939669458,,,,,,,,,0.4935413553638175,0.5064586446361826,0.5334649698997823,0.4665350301002177
21,16.93505335999017,0.320792662679124,5.510016325650267,0.3083549319058772,5.399331445592304,0.2960045582405158,6.025705588747599,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/21/output_220/pdbs/298.pdb,18381.853897932808,0.643458952287017,0.3565410477129829,0.6529935163428753,0.3470064836571248,0.4378922072384251,0.562107792761575,,,,,,
22,16.473577075914953,0.3160611731470412,5.5063522975223504,0.2905093540726599,5.3588856081120575,,,0.3076935557923166,5.608339170280545,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/22/output_403/pdbs/289.pdb,13209.245000972363,0.3541972455155289,0.6458027544844711,0.3479071227867779,0.6520928772132221,,,0.4729412095857018,0.5270587904142983,,,,
23,16.5920658651043,0.3251174296863867,5.504958272747316,0.3022741455553484,5.384923282668745,,,,,0.3211644941908246,5.702184309688239,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/23/output_80/pdbs/291.pdb,14414.090467348571,0.3265535730282588,0.6734464269717412,0.335106844397766,0.664893155602234,,,,,0.5300685865913768,0.4699314134086232,,
24,16.459079649040046,0.3136000598913216,5.502018408268736,0.2927445007793088,5.36654412916814,,,,,,,0.2909154750876914,5.590517111603169,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/24/output_259/pdbs/294.pdb,17468.392482518208,0.3571611645255971,0.6428388354744028,0.3670769339239648,0.6329230660760353,,,,,,,0.5032734236233884,0.4967265763766116
25,16.81014821507575,0.3684799570082712,5.604397036198334,,,0.2482705991271707,5.809362855662149,0.2406280155295174,5.396388323215266,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/25/output_217/pdbs/265.pdb,16331.267043199525,0.3547920091950952,0.6452079908049049,,,0.4258704438697814,0.5741295561302185,0.4267967119177088,0.5732032880822912,,,,
26,16.96387103213885,0.3548284269362426,5.588951147740205,,,0.2566588847669263,5.849354499398315,,,0.2579272274666317,5.525565385000331,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/26/output_45/pdbs/294.pdb,17120.639482886054,0.6826591188951897,0.3173408811048103,,,0.5477218455094495,0.4522781544905505,,,0.5254290608832306,0.4745709391167694,,
