,r_free_7mhf,xray_7mhf,r_free_7mhg,xray_7mhg,r_free_7mhh,xray_7mhh,r_free_7mhi,xray_7mhi,r_free_7mhj,xray_7mhj,r_free_7mhk,xray_7mhk,pdb,ff,w_0_7mhf,w_1_7mhf,w_2_7mhf,w_3_7mhf,w_0_7mhg,w_1_7mhg,w_2_7mhg,w_3_7mhg,w_0_7mhh,w_1_7mhh,w_2_7mhh,w_3_7mhh,w_0_7mhi,w_1_7mhi,w_2_7mhi,w_3_7mhi,w_0_7mhj,w_1_7mhj,w_2_7mhj,w_3_7mhj,w_0_7mhk,w_1_7mhk,w_2_7mhk,w_3_7mhk
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.324258677771075,5.295239528254736,0.2808661877410092,5.242119802288028,0.2640999176048673,5.778589625125226,0.2564956210440721,5.3398057479640055,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/41/output_399/pdbs/92.pdb,81807.77755024981,0.3507693358738928,0.4592973554362786,0.1380817879199056,0.051851520769923,0.3337526981142145,0.4257714352738011,0.1505845603342702,0.0898913062777139,0.2055172876870705,0.279419456870429,0.3923635019763372,0.1226997534661632,0.2352640149727785,0.2846317068613214,0.3512173596298855,0.1288869185360144,,,,,,,,
42,0.4324304348956815,5.5520183770510085,0.2827422488857886,5.249703574597454,0.2601932961559351,5.763744218796861,,,0.2726608588713992,5.460082622790871,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/42/output_44/pdbs/200.pdb,82105.55572162727,0.3445189260779533,0.130074191664472,0.4704495354988497,0.0549573467587249,0.3233228181627726,0.1303779364427635,0.4165262603926896,0.1297729850017742,0.3241558858547992,0.3497747657878606,0.2187884720583189,0.1072808762990211,,,,,0.3181266669147869,0.361823503130515,0.2003489986178381,0.1197008313368601,,,,
43,0.3098091625479715,5.284161005922067,0.2753235061601728,5.21607106534314,0.2747146615334971,5.799441743545398,,,,,0.2792699126867524,5.3707453328168935,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/43/output_174/pdbs/177.pdb,76046.36140466588,0.1686846266053596,0.3296474724347539,0.450492424579318,0.0511754763805684,0.1913475345939418,0.3108896305506482,0.4042823187336046,0.0934805161218053,0.3677813558998705,0.3459829158941505,0.1800008325093338,0.106234895696645,,,,,,,,,0.3385055501676163,0.3311069734412539,0.2153344837193348,0.1150529926717949
44,0.4073248179023544,5.523318680363634,0.2790623198746064,5.232753763966548,,,0.2804801536763973,5.338893504245012,0.284885317016929,5.453539417866067,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/44/output_83/pdbs/220.pdb,83146.82945128002,0.4326403919563998,0.1117804338919443,0.3829659656991576,0.0726132084524983,0.4258932735846132,0.1426781373703181,0.2932124195776472,0.1382161694674214,,,,,0.2148878709569709,0.385051532009725,0.2744065216954875,0.1256540753378165,0.2002341348413667,0.4174094947614705,0.2527564768532531,0.1295998935439096,,,,
45,0.3295529867505369,5.348597692981105,0.2758731507291375,5.230095690470846,,,0.2817339230166602,5.342469412609002,,,0.2916752107990715,5.373591993424449,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/45/output_29/pdbs/190.pdb,77029.27943877515,0.1114897225981124,0.486107127202368,0.3398788400135074,0.0625243101860122,0.1482587315434907,0.4055060758790585,0.3398084269317355,0.1064267656457152,,,,,0.3549587893832057,0.2044540635504771,0.305920915839141,0.1346662312271762,,,,,0.3280881026439188,0.2265094470311273,0.3159305349342251,0.1294719153907286
46,0.318161618105562,5.321113898905751,0.2761952298695835,5.2364870741783225,,,,,0.296243363250535,5.545698286081345,0.3758534529479045,5.642585908670902,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/46/output_28/pdbs/90.pdb,74281.35486171368,0.3648089913859919,0.410849180466396,0.1575391347628111,0.0668026933848008,0.3447957460081537,0.3619035289370051,0.1793544512154292,0.1139462738394119,,,,,,,,,0.2489109854381027,0.2147930596768384,0.4030309296692325,0.1332650252158265,0.2553807779636199,0.2685666719639545,0.3539597492483848,0.1220928008240408
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,0.3118105143214902,5.3174400840722615,0.2169140860589656,5.6876252059612815,0.2117982215790281,5.214825796842117,0.2388115882377613,5.353626148461652,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/51/output_331/pdbs/48.pdb,90036.68680674335,,,,,0.1707077664608429,0.4878301803755067,0.2365176024824666,0.1049444506811837,0.3488451092270317,0.1547678153863425,0.4183070200576312,0.0780800553289945,0.3446535998907338,0.1517548206787732,0.4127775331917795,0.0908140462387134,0.3972623746879834,0.1152026340573322,0.3906573157575306,0.0968776754971537,,,,
52,,,0.3059205086106797,5.303680909364675,0.2358864238533443,5.700599069275756,0.2299578241987066,5.2298511610816005,,,0.2513017896007494,5.310741361633291,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/52/output_453/pdbs/94.pdb,86055.33716135801,,,,,0.1571894094951812,0.4997134241701159,0.2422811389738649,0.100816027360838,0.360606209888324,0.2196828546193006,0.3150160449687443,0.1046948905236311,0.3295120521842029,0.2359565390458609,0.3286178284992599,0.1059135802706763,,,,,0.2947476273012426,0.2500301019117237,0.3324008118548149,0.1228214589322187
53,,,0.3051537494873067,5.277009506868202,0.2476134656681964,5.674067904832741,,,0.2515752169851021,5.357180730468247,0.2573751328553968,5.293842333782449,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/53/output_341/pdbs/198.pdb,89615.92679984792,,,,,0.48354730575939,0.1663837395523349,0.2155978548970087,0.1344710997912662,0.198129804855141,0.3850362903444421,0.3153233828433369,0.1015105219570799,,,,,0.1991326497341444,0.3716623173030654,0.3144134998955543,0.1147915330672358,0.2644209811802437,0.30856067208873,0.3030752467342898,0.1239430999967364
54,,,0.303535737637552,5.302190348943581,,,0.2416703619562895,5.24503214370693,0.276105848960067,5.386725134612783,0.2715419584146566,5.350285000760229,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/54/output_256/pdbs/200.pdb,89281.4636135533,,,,,0.1853399630718943,0.4540027814109499,0.2393848089935225,0.121272446523633,,,,,0.3699356317898734,0.1576887065559874,0.3493930108629046,0.1229826507912346,0.4205673969589499,0.1199247002546249,0.3200148164923634,0.1394930862940618,0.3372428076229693,0.196780922923119,0.3507098563402884,0.1152664131136233
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.3166279411600454,5.301159781888408,0.2869289182064851,5.238032517536566,0.2249853678194499,5.645485158400291,0.2310215690286182,5.199468258469278,0.2384876674588862,5.316604307342574,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/56/output_458/pdbs/252.pdb,112394.45927565591,0.54123347878253,0.113904123400803,0.2821112099568673,0.0627511878597995,0.4717696506121825,0.1413593487205383,0.280011097453916,0.1068599032133631,0.1862260390687879,0.3632748779063932,0.3464575084874479,0.1040415745373708,0.2137904035734982,0.3515824242704745,0.3279678911088939,0.1066592810471334,0.1737356865599071,0.37917956940553,0.3437922046741264,0.1032925393604363,,,,
57,0.3264510287121085,5.316327717734446,0.2807828424690519,5.246809009124865,0.2344859389818931,5.693425206308168,0.2342814984887339,5.254663193470604,,,0.2618151265510569,5.320446186560395,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/57/output_421/pdbs/120.pdb,105504.77669341044,0.1496221523428184,0.2618069069929036,0.535778878218124,0.052792062446154,0.1592509878877097,0.2832951269156041,0.4510642478473607,0.1063896373493253,0.3746347668918204,0.2905717689354693,0.24145722725566,0.0933362369170502,0.3408275064575042,0.3049788738345427,0.236084226817905,0.1181093928900479,,,,,0.3232589406773943,0.3143557555549555,0.2542624596459434,0.1081228441217067
58,0.3248390885309987,5.31445910223582,0.2817199550952212,5.241744337807929,0.2583848803299153,5.719972289739878,,,0.3062330996226448,5.699234915832955,0.2867451330353106,5.395442343447486,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/58/output_146/pdbs/190.pdb,112161.04101453054,0.1020949041652606,0.3987712603556257,0.4404035615850863,0.0587302738940272,0.1285450987687916,0.3532244509887586,0.3995577376365366,0.1186727126059132,0.3536607748320225,0.3513875070956359,0.1976676310056422,0.0972840870666993,,,,,0.3710654312653528,0.3253538469680639,0.184297823231222,0.1192828985353612,0.310546896474333,0.3146483793584937,0.2533827953429117,0.1214219288242614
59,0.3180393341349392,5.284750649700554,0.2811211929983953,5.253314886387554,,,0.2598272908519213,5.304187148259892,0.273990667011219,5.4435009891259245,0.254211293668085,5.37303347577792,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/59/output_168/pdbs/65.pdb,119566.51581741202,0.1067018119998734,0.314619483651217,0.5025055279154741,0.0761731764334354,0.1366818532577802,0.3609332552956278,0.3800285010059887,0.1223563904406031,,,,,0.4114799979206402,0.2811104488312236,0.1663281340736645,0.1410814191744717,0.414915338501028,0.3183724030053463,0.1158327491225895,0.1508795093710361,0.3305142668734506,0.3207606950890668,0.2214795876285954,0.127245450408887
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,0.312505409167945,5.295447463068037,0.2180459201738968,5.635367044439168,0.2116580566469873,5.144854587792722,0.23365135097833,5.294964419050925,0.239820001269505,5.283305077320458,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/61/output_20/pdbs/165.pdb,107792.26630649852,,,,,0.4999718529217029,0.1843974213249888,0.1953888327960921,0.1202418929572162,0.187257817529852,0.3605204996526988,0.3682811561993079,0.0839405266181412,0.2261287285826834,0.3490574246098329,0.330411567001666,0.0944022798058175,0.1730407606845333,0.3620548553093743,0.371001534604163,0.0939028494019292,0.2702912146145229,0.3382602565174321,0.284282861143546,0.107165667724499
62,0.3196419442340023,5.3137318496036965,0.2858751616419561,5.252212849033245,0.2185710073199242,5.653972172322097,0.2151305088721646,5.194531920688109,0.229403521569305,5.33190497801097,0.2568909065974465,5.347729301544191,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/62/output_281/pdbs/79.pdb,154950.07861776606,0.1340289639880315,0.3029226812694863,0.4871906204982109,0.0758577342442713,0.1598612535076853,0.2852711630237149,0.4483771852598074,0.1064903982087923,0.3919668191182904,0.306686441074361,0.1810530961865766,0.1202936436207719,0.3907397027630029,0.2943930978207965,0.2067384546507248,0.1081287447654757,0.4187531010790942,0.3070242565258946,0.1688843909187756,0.1053382514762353,0.3299790293774399,0.2456828367641693,0.2825395795534861,0.1417985543049046
