,index,N,J,job,xray_0,xray_1,xray_0+xray_1,r_free_0,r_free_1,rmsd_0,rmsd_1,rmsd_0+rmsd_1,w_0_0,w_0_1,w_1_0,w_1_1,w_2_0,w_2_1,w_3_0,w_3_1,pdb,ff
27,0,2,1,7,5.392109498867304,,,0.2038559072679221,,0.1946791497439115,,,0.7353428273793912,,0.2646571726206089,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/123_natives_2_state/7/output_703/pdbs/287.pdb,12315.180933257168
28,0,2,1,8,5.455954447949237,,,0.2223247818633676,,0.1966876681709288,,,0.3419935321800269,,0.6580064678199731,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/123_natives_2_state/8/output_711/pdbs/332.pdb,12398.859447318937
29,0,2,1,9,5.308138951499561,,,0.169916157387624,,0.1883183187558746,,,0.0555548556593336,,0.9444451443406664,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/123_natives_2_state/9/output_208/pdbs/169.pdb,15023.736593170008
30,0,2,2,0,5.159432174283377,5.1742956275829215,10.3337278018663,0.1634662685577805,0.1610309685802479,0.1894209296335576,0.1907158386727664,0.19006838415316202,0.4909327735746973,0.4933227422109932,0.5090672264253028,0.5066772577890067,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/124_natives_2_cond/0/output_143/pdbs/333.pdb,22765.94126381977
31,0,2,2,1,5.092712446210274,5.114590533008308,10.207302979218582,0.1295880187131347,0.1426288709421588,0.1446519624987364,0.162982935212216,0.1538174488554762,0.8644945542283395,0.7618841714076255,0.1355054457716603,0.2381158285923744,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/124_natives_2_cond/1/output_198/pdbs/331.pdb,19870.79018101818
32,0,2,2,2,5.121505587420819,5.1164929613736,10.237998548794419,0.1570239424672863,0.1540641033080125,0.1871938035621762,0.1878022099625422,0.1874980067623592,0.5041489745374451,0.5042269338890468,0.495851025462555,0.495773066110953,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/124_natives_2_cond/2/output_781/pdbs/318.pdb,23091.785054259864
33,0,2,2,3,5.126763987103121,5.1165014679398,10.243265455042922,0.147983265169451,0.1434338732754704,0.1955705629293372,0.1807463652825361,0.18815846410593665,0.373210621975641,0.3233820063310443,0.626789378024359,0.6766179936689557,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/124_natives_2_cond/3/output_493/pdbs/428.pdb,20785.505797233905
36,0,2,2,4,5.243101793328839,5.209851036149291,10.45295282947813,0.1669706507012807,0.1598856792538328,0.2114084274382137,0.2150649180549388,0.21323667274657626,0.5911144283948241,0.5719727594999543,0.4088855716051758,0.4280272405000457,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/124_natives_2_cond/4/output_635/pdbs/367.pdb,21599.80565233054
34,0,2,2,5,4.911105640699455,4.95163312234186,9.862738763041316,0.1084296186294478,0.112069695816429,0.1476976638735956,0.1621808471811407,0.15493925552736815,0.8863691841990295,0.851943520938265,0.1136308158009705,0.148056479061735,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/124_natives_2_cond/5/output_603/pdbs/347.pdb,22559.98220175447
35,0,2,2,6,5.191516134094422,5.187223640506261,10.378739774600682,0.1644945822524764,0.1694486304807124,0.2033728661335126,0.2033076430423163,0.20334025458791444,0.4563409063552777,0.4546266205519084,0.5436590936447223,0.5453733794480916,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/124_natives_2_cond/6/output_422/pdbs/332.pdb,22743.23035019062
37,0,2,2,7,5.0993660887976295,5.111567060028772,10.210933148826403,0.1474285721771304,0.1517175560128691,0.1877907392930416,0.2048148801071742,0.19630280970010788,0.321752075292149,0.3782331697392948,0.678247924707851,0.6217668302607052,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/124_natives_2_cond/7/output_674/pdbs/372.pdb,20155.808977893717
38,0,2,2,8,5.2157645606727705,5.220152742772803,10.435917303445574,0.1645650187773616,0.1633455192764715,0.1965012894693247,0.1945618456766024,0.19553156757296355,0.3718732517296945,0.3659460306602913,0.6281267482703056,0.6340539693397087,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/124_natives_2_cond/8/output_63/pdbs/260.pdb,22935.154201387755
39,0,2,2,9,4.922855753150853,4.945800860136466,9.86865661328732,0.1102756178218454,0.1163562106500649,0.1621670416770033,0.1677559411116251,0.1649614913943142,0.8549321399616148,0.8457793365396475,0.1450678600383851,0.1542206634603524,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/124_natives_2_cond/9/output_805/pdbs/376.pdb,21845.596562117036
40,0,4,1,0,5.313866262669209,,,0.2146834262969373,,0.2186075895832217,,,0.3118820143616914,,0.3571777637670526,,0.3123318162323896,,0.0186084056388664,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/141_native_4_state_1_cond/0/output_950/pdbs/431.pdb,48076.63326811735
41,0,4,1,1,5.21287920099754,,,0.1567858488976687,,0.1971521141145056,,,0.4718668917106631,,0.0462273024373481,,0.4558672721014315,,0.0260385337505573,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/141_native_4_state_1_cond/1/output_207/pdbs/123.pdb,53149.52362674564
42,0,4,1,2,5.308303378019417,,,0.2135324715664101,,0.2136473174826142,,,0.3409170944182987,,0.3506762435103233,,0.2774571812884188,,0.0309494807829591,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/141_native_4_state_1_cond/2/output_280/pdbs/286.pdb,47243.96718754129
43,0,4,1,3,5.292524498245071,,,0.1994977245121608,,0.2191458267176724,,,0.3907570364595581,,0.2248163200380104,,0.3547209025471491,,0.0297057409552821,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/141_native_4_state_1_cond/3/output_398/pdbs/332.pdb,47665.89321878509
44,0,4,1,4,5.312176653698744,,,0.1974251769456529,,0.2036040818064492,,,0.2893954921660796,,0.3619879507033744,,0.3232771111905473,,0.0253394459399987,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/141_native_4_state_1_cond/4/output_244/pdbs/146.pdb,46885.96854240148
47,0,4,1,5,5.170570601577831,,,0.1562158724605494,,0.1994377315930839,,,0.1047297171581487,,0.0733532082303145,,0.7685733146396435,,0.053343759971893,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/141_native_4_state_1_cond/5/output_966/pdbs/96.pdb,52962.62385864112
45,0,4,1,6,5.359543067925723,,,0.2231531145322716,,0.2174802746334121,,,0.3373595702511875,,0.3178098659650767,,0.3147590298039849,,0.0300715339797506,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/141_native_4_state_1_cond/6/output_153/pdbs/311.pdb,47215.81487778685
46,0,4,1,7,5.287597043318363,,,0.1985640141599134,,0.2175173583650423,,,0.3563121813503659,,0.3331265453977148,,0.2876813942565445,,0.0228798789953745,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/141_native_4_state_1_cond/7/output_550/pdbs/412.pdb,47242.86002702959
48,0,4,1,8,5.314793602409178,,,0.2085558098922299,,0.2002236941536023,,,0.3068128272099522,,0.2925613909388539,,0.3754954976659126,,0.0251302841852813,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/141_native_4_state_1_cond/8/output_811/pdbs/164.pdb,47613.83492116133
49,0,4,1,9,5.262944527294274,,,0.1720765824941531,,0.2096784112500374,,,0.0647047901988263,,0.783358435505585,,0.0995584896949938,,0.0523782846005947,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/141_native_4_state_1_cond/9/output_61/pdbs/105.pdb,55088.87320940052
50,0,4,2,0,4.9885387967648605,5.012048643760072,10.000587440524932,0.1472688436063195,0.1510059614856389,0.2398584987034122,0.2408461760375853,0.24035233737049874,0.289789339488058,0.2775491359446641,0.3958955135537156,0.4083298778599476,0.2683948318218692,0.2651769322471816,0.0459203151363571,0.0489440539482066,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/0/output_442/pdbs/204.pdb,66903.67120909468
51,0,4,2,1,5.113709270455652,5.090873037950308,10.20458230840596,0.1409551760791193,0.1473227980039087,0.1905123162890467,0.2113773589645868,0.20094483762681675,0.5205534935081204,0.4480753512245167,0.1105770334772214,0.2041009883769623,0.3225413972756146,0.2907375211094056,0.0463280757390435,0.0570861392891152,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/1/output_914/pdbs/81.pdb,63273.16417242455
52,0,4,2,2,5.711227530717225,5.460563077325849,11.171790608043075,0.3057171099775184,0.2363602043891008,0.2099466704965452,0.2208695591620506,0.2154081148292979,0.295799646391231,0.2924614345768268,0.3695554693485164,0.3412271599521753,0.301022128181722,0.3221804463235767,0.0336227560785305,0.0441309591474211,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/2/output_238/pdbs/260.pdb,64716.91058359623
53,0,4,2,3,4.936792266693908,4.934753877885253,9.871546144579161,0.1293838912646946,0.1258820174791617,0.2139456264469313,0.2007317392014991,0.2073386828242152,0.3294596008552635,0.3175432346345226,0.3230527403168071,0.3026787362576287,0.323529365275945,0.3523940207567181,0.0239582935519843,0.0273840083511304,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/3/output_614/pdbs/249.pdb,61545.35641092421
54,0,4,2,4,4.975858169377146,4.95983855955679,9.935696728933936,0.1311627727559057,0.1344229250269147,0.2258048971423212,0.2186703895302764,0.2222376433362988,0.2370258712531931,0.2473422215276619,0.3657963292666111,0.3438489579391353,0.3429093019929257,0.363194917913535,0.05426849748727,0.0456139026196678,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/4/output_942/pdbs/111.pdb,65376.82580335433
55,0,4,2,5,4.96397899130046,4.9499601919333625,9.913939183233822,0.1210850992914593,0.1190395771881228,0.2240485333009101,0.227428085573756,0.22573830943733303,0.3087153881786075,0.3242173118734489,0.2590276772508282,0.2487450642498748,0.3815453389973432,0.3830074262937085,0.0507115955732209,0.0440301975829678,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/5/output_849/pdbs/143.pdb,64710.10876323144
57,0,4,2,6,4.898445081410614,4.917120585762522,9.815565667173136,0.129977329500461,0.1357534506623241,0.2110724728463758,0.2317300697800661,0.22140127131322096,0.3286905735747246,0.3191785721383416,0.3481674627498465,0.3172945452495595,0.3022215475103643,0.3230987006804817,0.0209204161650644,0.040428181931617,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/6/output_104/pdbs/232.pdb,65385.27899629429
58,0,4,2,7,4.977607529814955,4.941920690781008,9.919528220595964,0.1329965086668323,0.1341318098466817,0.2044171734864795,0.2207787165817049,0.21259794503409218,0.3448920428668887,0.3370185814475889,0.2792274287460636,0.316301296817222,0.3521169901896769,0.3107441709604228,0.0237635381973706,0.0359359507747661,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/7/output_207/pdbs/218.pdb,62605.87870430757
56,0,4,2,8,4.834461620555429,4.831316977928573,9.665778598484003,0.1146359534314454,0.1163448643244734,0.1982434756930431,0.1951868041704166,0.19671513993172984,0.3141997232774264,0.3238987187073271,0.3384080902868961,0.3325159290943573,0.3201359006795129,0.3153486223815457,0.0272562857561644,0.0282367298167698,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/8/output_535/pdbs/169.pdb,66388.91321504155
59,0,4,2,9,4.971238650360055,5.003561534422347,9.974800184782403,0.1236823960421083,0.1311069632023044,0.2066799631793187,0.2164007615749262,0.21154036237712243,0.2793752120045946,0.2956877523244588,0.3909846574234919,0.3400814313476239,0.2835983776022871,0.3102106030896935,0.0460417529696262,0.0540202132382236,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/9/output_432/pdbs/108.pdb,67576.20437204622
