,r_free_7mhf,xray_7mhf,r_free_7mhg,xray_7mhg,r_free_7mhh,xray_7mhh,r_free_7mhi,xray_7mhi,r_free_7mhj,xray_7mhj,r_free_7mhk,xray_7mhk,pdb,ff,w_0_7mhf,w_1_7mhf,w_2_7mhf,w_3_7mhf,w_4_7mhf,w_5_7mhf,w_6_7mhf,w_7_7mhf,w_0_7mhg,w_1_7mhg,w_2_7mhg,w_3_7mhg,w_4_7mhg,w_5_7mhg,w_6_7mhg,w_7_7mhg,w_0_7mhh,w_1_7mhh,w_2_7mhh,w_3_7mhh,w_4_7mhh,w_5_7mhh,w_6_7mhh,w_7_7mhh,w_0_7mhi,w_1_7mhi,w_2_7mhi,w_3_7mhi,w_4_7mhi,w_5_7mhi,w_6_7mhi,w_7_7mhi,w_0_7mhj,w_1_7mhj,w_2_7mhj,w_3_7mhj,w_4_7mhj,w_5_7mhj,w_6_7mhj,w_7_7mhj,w_0_7mhk,w_1_7mhk,w_2_7mhk,w_3_7mhk,w_4_7mhk,w_5_7mhk,w_6_7mhk,w_7_7mhk
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.3326772453529673,5.185515099025351,,,0.2714741173192546,5.185017350607695,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/12/output_436/pdbs/269.pdb,188066.01302977084,,,,,,,,,0.0666710789572158,0.106611551383333,0.1239993811734087,0.1202803527654741,0.0677383118093576,0.2843621510180683,0.0758568904837607,0.1544802824093816,,,,,,,,,0.1176245862865782,0.1891404625560182,0.1599506626290674,0.0719315596904196,0.134761080441136,0.1084890276370267,0.0722999902303585,0.1458026305293953,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,0.2150621200323573,5.282003399535714,0.2063258628381672,4.971587907376937,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/15/output_447/pdbs/262.pdb,210787.36569369023,,,,,,,,,,,,,,,,,0.1550932479232252,0.162951361890404,0.1307406188990499,0.0874777419179605,0.1389969060836887,0.0917021359618825,0.076374750182669,0.15666323714112,0.1888823424481521,0.1558328888281827,0.1531378424449596,0.051449909945532,0.141013256387086,0.0779455650490094,0.0755911751371313,0.1561470197599466,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,0.1967883507457491,4.9743630442282365,0.2140440216596953,5.043403775038096,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/18/output_340/pdbs/293.pdb,197941.1620801598,,,,,,,,,,,,,,,,,,,,,,,,,0.1791014198160115,0.125823876276909,0.2570323049477537,0.0504639244408534,0.1249405828543955,0.0715533370811307,0.0776477616750741,0.1134367929078719,0.2061218080611922,0.1396123705790358,0.2469837584901781,0.0538410709378581,0.0841409636648975,0.0806532411139996,0.0675994201709668,0.1210473669818716,,,,,,,,
19,,,,,,,0.2274356545468473,5.053168459485662,,,0.2382956784657633,5.0148678366178245,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/19/output_96/pdbs/265.pdb,201035.89794120623,,,,,,,,,,,,,,,,,,,,,,,,,0.1829614482676376,0.199809348354758,0.1178849403163898,0.0677525602827718,0.1430799091479764,0.1061907382865225,0.0683647492219062,0.1139563061220375,,,,,,,,,0.1601283202238506,0.1649962184378208,0.1202775644162018,0.0640825668298602,0.161118256521866,0.1292906104160035,0.0457403105863814,0.1543661525680154
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.3304269255110821,5.297524838704981,0.2972636726211258,5.195756456982556,,,0.2714487706247033,5.320255526333032,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/22/output_80/pdbs/31.pdb,221128.41049949627,0.067234440974341,0.2508842509214954,0.1222230366551962,0.084033406921906,0.0721918258461318,0.1081498866346387,0.0745725551745802,0.2207105968717102,0.2374491442990854,0.1833215510255192,0.1252066034394171,0.0363439326104213,0.079861959685877,0.0787964009536254,0.1065737332561733,0.152446674729881,,,,,,,,,0.0648906924498018,0.0758537494858818,0.2266191671765946,0.0384233704550722,0.1376066978266801,0.1955525778869573,0.0536200847915262,0.2074336599274856,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.3414709363950687,5.297387643890738,,,0.2178647756965027,5.412797851702642,0.2082604645138908,5.027354125648954,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/25/output_96/pdbs/146.pdb,252407.5983697167,0.0829038799494886,0.332378856931543,0.0945494304967163,0.0579391971856589,0.0992985008485496,0.0553749186919388,0.0644789884741684,0.2130762274219362,,,,,,,,,0.2212684995210183,0.0229148355634948,0.1500779332478668,0.0665496456302394,0.1336430400548488,0.1408205379614004,0.0338545936133511,0.2308709144077801,0.2482592780217425,0.0508760851184065,0.1004472272180202,0.0931404033630681,0.1400297516386686,0.1281879512919247,0.0579518949618584,0.1811074083863106,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.3435555084978831,5.306044017186063,,,,,0.2064677201995033,5.01201184830783,0.2260872230415253,5.107240884256821,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/28/output_286/pdbs/287.pdb,240761.38441270823,0.0717000028215248,0.1106291142476707,0.3918531163249608,0.059173271260161,0.0563042576934604,0.1066928833409935,0.0804713475553446,0.1231760067558839,,,,,,,,,,,,,,,,,0.1851499105237217,0.1092985625971647,0.1075342277523903,0.0767505546269771,0.110437328233645,0.1972072570998936,0.0709302339670692,0.142691925199138,0.1517465143888123,0.1339122705946953,0.0749357432957517,0.0892732005684148,0.1285933307342046,0.23010737002142,0.0569843782149334,0.1344471921817675,,,,,,,,
29,0.3585708703991714,5.266086096120374,,,,,0.2258466259635525,5.093113627493984,,,0.2362721766734014,5.045968333472642,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/29/output_40/pdbs/259.pdb,242104.5126162203,0.1078256404508982,0.1734855480623288,0.2373577666745461,0.1274025895196136,0.0826004020003037,0.1119717038371195,0.0941049430581447,0.0652514063970452,,,,,,,,,,,,,,,,,0.1794806711923934,0.1495363646623626,0.08229657600333,0.0831497481633045,0.1115221655092299,0.1564353407692978,0.0788687199313599,0.1587104137687216,,,,,,,,,0.1616754437967389,0.1873386110825203,0.0647657750675926,0.0892264357809692,0.1090317723490638,0.1572858072826461,0.0500522310272116,0.1806239236132572
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,0.3304263140792571,5.182334042127048,0.2182305297326519,5.417796901877815,0.207848721004773,5.036417586443072,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/31/output_3/pdbs/196.pdb,240334.6787042526,,,,,,,,,0.1214185706854677,0.0913990667189064,0.1399990667145,0.129134930635422,0.1981137032630146,0.1835946017747725,0.0910773081203482,0.0452627520875682,0.1707041677727355,0.1830574726178427,0.2081288408628529,0.0616643371560555,0.0667877157978614,0.0674455021830696,0.0610130103377225,0.1811989532718596,0.1411568023806796,0.1962530729088258,0.1945382229761744,0.0430473603544376,0.0908777383735184,0.0761748341938341,0.0896556134532719,0.168296355359258,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,0.3167629717890448,5.177091604764506,,,0.2062456417783163,5.045090989206829,0.2362042207829133,5.14201507841594,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/34/output_433/pdbs/212.pdb,221970.1813754145,,,,,,,,,0.0721537833886942,0.2768446740639319,0.0498336122788219,0.0685931905276576,0.1220478137799724,0.051446051403712,0.0655697468086041,0.2935111277486057,,,,,,,,,0.1682095909552346,0.1623205738392863,0.1171736669145614,0.0677113602409539,0.1600373057209806,0.1227227985473394,0.0467168976177797,0.1551078061638638,0.144988947099198,0.1456916741067603,0.1160855634722467,0.0654314849279811,0.18395850547346,0.172807850948523,0.0759463420997661,0.0950896318720646,,,,,,,,
35,,,0.3151367525147453,5.155688830218341,,,0.2327772470070493,5.107554335705674,,,0.2494031780200291,5.0701548284990325,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/35/output_462/pdbs/237.pdb,235111.64511717635,,,,,,,,,0.0718496580044965,0.1108832508506879,0.2664408992577424,0.0607050742313434,0.0750889938071398,0.1011986347840648,0.0831007879914415,0.2307327010730833,,,,,,,,,0.157922556947555,0.1230165536829545,0.1369290932152708,0.063894863670224,0.0760298594152295,0.2018706461490126,0.0868883363801304,0.153448090539623,,,,,,,,,0.1494047856250224,0.1125041156227127,0.1404951615360949,0.0579245139520632,0.1352492203795782,0.170912420396014,0.0861207970426313,0.147388985445883
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,0.2026973415028061,5.405476867385264,0.1670468705629546,4.877505029209649,0.1813936142730466,4.959448139585574,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/37/output_395/pdbs/224.pdb,226454.87074022228,,,,,,,,,,,,,,,,,0.2067566317225477,0.0754929024144323,0.181462063581269,0.0818800722647953,0.1324231803514802,0.1904940985953736,0.0729427875895908,0.0585482634805107,0.1891963836541178,0.1257596291681193,0.165217538663453,0.0615751996331487,0.1272147729107513,0.2068430576432424,0.037171178027952,0.0870222402992152,0.1773618382594397,0.1155951740423817,0.1895448900783184,0.0455849116413361,0.1117195721106297,0.2003989394466047,0.0599682230477523,0.0998264513735371,,,,,,,,
38,,,,,0.1910159628981414,5.319533800717288,0.1843380488625773,4.9107718784415,,,0.2400221940713271,4.9917696635651625,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/38/output_224/pdbs/269.pdb,227392.2366304205,,,,,,,,,,,,,,,,,0.1746547350045965,0.1922302296062176,0.1480104927498446,0.0622596859007811,0.1391779096828923,0.15602496580658,0.0398250161446476,0.0878169651044399,0.1437252382990122,0.2006366513378052,0.1489008124595945,0.0460972253098361,0.1465455595843153,0.1678428734527957,0.0534533891795785,0.0927982503770622,,,,,,,,,0.0931084129799592,0.1374128727287079,0.1609886471136127,0.0888630525033364,0.1890986992945046,0.1770584150719052,0.0653318432531075,0.0881380570548662
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,0.1808529492484842,4.94020813374575,0.2122567109953712,5.092111613507179,0.2602113792133437,5.061554895349503,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/40/output_346/pdbs/287.pdb,228410.46178449804,,,,,,,,,,,,,,,,,,,,,,,,,0.1693992406681656,0.1396667871274792,0.2153564135908726,0.0475175486895694,0.1710755140750121,0.1170848948037888,0.0586308163015323,0.0812687847435796,0.1573502319044348,0.1437795381075504,0.1895596999484657,0.0826989159594474,0.1341507895512999,0.1437971613330216,0.0551327871044325,0.0935308760913474,0.1649295651324883,0.0923315139376315,0.1597390276623316,0.0774377336042623,0.1373131313415431,0.1535776705967696,0.0855002715082399,0.1291710862167332
41,0.3051335729461129,5.242888722368417,0.288070734459863,5.094338511343004,0.2167304512858947,5.421830658092508,0.2110819246789403,5.021698947126751,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/41/output_34/pdbs/238.pdb,283004.05786114646,0.1034436320489539,0.0919007705613343,0.0705047841385008,0.055544394932889,0.1320776775951106,0.1561829676583943,0.0347927609783852,0.3555530120864316,0.1404786903975546,0.0889860619953755,0.0737732573138748,0.0487011248770247,0.1153425603223195,0.1613034294316465,0.0452744847076371,0.3261403909545669,0.2715416525472153,0.1176204360415708,0.1363973768327012,0.0425130137683873,0.1567768078085326,0.1754597740669542,0.0555740272552834,0.0441169116793549,0.2108750830350373,0.130605200968516,0.1292973710418324,0.0813683161325817,0.1539679290041642,0.1962514680445807,0.085947360527074,0.0116872712462133,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.3245883428029398,5.297036507235825,0.2903826318652558,5.1167103821509805,,,0.2078802751942794,5.037989836234171,0.2326985845748736,5.152884626241119,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/44/output_209/pdbs/234.pdb,260528.21126828305,0.2029810119542302,0.0515440007072498,0.0919874455936695,0.0289681188804606,0.0904171237670657,0.1871973936318138,0.135770877343999,0.211134028121511,0.2117899894074535,0.0238645279977118,0.1488245211212025,0.0214987331806976,0.0854124342039893,0.2504722750674465,0.0642951667353987,0.1938423522860998,,,,,,,,,0.0640967347388347,0.1269323267926293,0.1795640806306529,0.0651240818525902,0.2201359577882895,0.1463170674830879,0.0556944408956172,0.142135309818298,0.0917331050119503,0.1745474814366592,0.2006737771538749,0.0217056689626903,0.231816358102609,0.1083713584492903,0.0408452433242291,0.1303070075586967,,,,,,,,
45,0.3275183925748181,5.277834399077228,0.2923898207800716,5.07932928183647,,,0.2346037153105693,5.100593294334903,,,0.2404355212153294,5.078894820762201,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/45/output_380/pdbs/236.pdb,275906.36941698083,0.1303380189749499,0.1456555329597282,0.2509326502971301,0.0728149902322802,0.1954879385617272,0.076240526065386,0.0626576148575149,0.0658727280512831,0.1554524191736397,0.2237982618464657,0.220088670730072,0.1046044641115027,0.0936267180132243,0.0845918136819282,0.0710921545021873,0.0467454979409796,,,,,,,,,0.2171573687435209,0.1344783656069366,0.0654242627688129,0.0583814429081705,0.1723629423508642,0.1313759256857135,0.0491487248252957,0.1716709671106854,,,,,,,,,0.1912787710571894,0.097712672570373,0.1060192194354835,0.0610219926204848,0.1501762901838342,0.1475722885574322,0.0874292988128547,0.1587894667623479
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.3647987745201995,5.264364763940805,,,0.1796243445243789,5.325219813855715,0.1693059372106816,4.86803586228986,0.1800432429508409,4.9907314638556,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/47/output_116/pdbs/282.pdb,274693.32780383044,0.0943846736572577,0.084182211618529,0.0773433756560938,0.1207812788240507,0.1830178153342895,0.1115254737539956,0.0960342682191892,0.2327309029365942,,,,,,,,,0.1781941504238952,0.1841612543391113,0.1682847007838039,0.041352063153425,0.0809904158388334,0.1389321328521501,0.0646067259615899,0.143478556647191,0.168241151053603,0.1690457940519755,0.1761374470280599,0.0566892809513092,0.1165417499608162,0.1497116116253588,0.0654100392229141,0.098222926105963,0.1459842362407319,0.1997339618551377,0.1779311695103544,0.0505636436977988,0.1095694331843344,0.1348776119964941,0.0859417297436959,0.0953982137714523,,,,,,,,
48,0.3805961280495334,5.252304003717789,,,0.2083153413359804,5.28003462800496,0.1881985198795057,4.926768708712937,,,0.2355549916666144,5.016195310693422,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/48/output_450/pdbs/296.pdb,320007.2138926081,0.1006784621532816,0.2092281122663855,0.0662885513893003,0.1333941890761961,0.1613184355975091,0.1403554790049922,0.1182852107257764,0.0704515597865585,,,,,,,,,0.0745986955696316,0.0597604201873403,0.1752101791244526,0.0801960527839703,0.1987160040396437,0.1519998172025261,0.0892713408769185,0.1702474902155166,0.113161652562535,0.0629388590190917,0.1584083131122033,0.0839251029918034,0.1935538218506975,0.1205565223403678,0.0883579023997161,0.1790978257235848,,,,,,,,,0.1253040533304672,0.1420496343378606,0.1293671886333344,0.0680786507394056,0.1791068466895578,0.1117533769311007,0.0956323523486538,0.1487078969896196
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.3609151643216086,5.273205746026769,,,,,0.1813420775294363,4.939923365879771,0.2139078059592151,5.087090397102185,0.220909337290554,5.020784769487551,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/50/output_437/pdbs/298.pdb,268192.11240255187,0.1268941239715236,0.0642541306735667,0.2486389655910148,0.1444391128117734,0.1437897923271832,0.0586855086023661,0.0661565216992217,0.1471418443233501,,,,,,,,,,,,,,,,,0.145618739025638,0.1650624759348798,0.129333222808307,0.0574173395207792,0.1790072615414523,0.1444145601307462,0.0623399274986139,0.1168064735395833,0.1153243519872811,0.17516172917784,0.0849790964525164,0.0800803130453017,0.1636238903861707,0.1509585637842085,0.0679516841120598,0.1619203710546215,0.1539075758591196,0.1538017400450133,0.152822156592201,0.067107104604731,0.1497627633093095,0.1572511844144953,0.0580790704044348,0.107268404770695
51,,,0.3356474706091194,5.171328408407392,0.1998581654928892,5.256586602049177,0.1712078544621626,4.88478755357445,0.1926789987665923,5.0107431269798965,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/51/output_320/pdbs/244.pdb,303116.6461384241,,,,,,,,,0.1287947870231999,0.0886603861539894,0.2974780508641655,0.0842952792210021,0.1050962213461134,0.1058471735073963,0.0700615631104872,0.1197665387736459,0.1287393967508109,0.1922909809543526,0.0704268652038654,0.0896749365477682,0.1721770963464268,0.1250481603922353,0.0741122814589247,0.1475302823456159,0.121531605255209,0.1668330358362039,0.1106114370553545,0.0586225332378247,0.1596590303604289,0.1616546805803489,0.0898416957603369,0.1312459819142928,0.1406064891506701,0.1863587068674269,0.0645118152462923,0.0878167394035584,0.1458951582204038,0.175133454873807,0.0950968377803493,0.1045807984574917,,,,,,,,
52,,,0.3177145188151016,5.159989840299607,0.2072763923396064,5.40956066591948,0.1858271578251683,4.962547397149715,,,0.228939386977427,5.02381382622347,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/52/output_14/pdbs/243.pdb,269841.38984557363,,,,,,,,,0.2154812809184527,0.0896847719872341,0.1876529768678019,0.0723529129979421,0.0834297550416368,0.1406850807387788,0.0581392623179055,0.152573959130248,0.0698001156733326,0.2013472670619888,0.1148531762227655,0.0424159868460736,0.1558268474444204,0.2034960369627835,0.0510823987242664,0.1611781710643688,0.0850166787302854,0.1712021454195736,0.1349626783012718,0.0562926105491653,0.159560847916625,0.1840178293657411,0.0603022713684925,0.148644938348845,,,,,,,,,0.0871356110358299,0.1817591762269755,0.1471128979851905,0.0576559212313913,0.1602276237254818,0.1012974911399908,0.0815050019122391,0.1833062767429009
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,0.3213248911563122,5.156268458330905,,,0.185368822874859,4.96026801110408,0.2284410398903969,5.111958311659795,0.243317324057089,5.085601217881585,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/54/output_354/pdbs/283.pdb,283030.6034462732,,,,,,,,,0.0938573246120356,0.1464096860638463,0.0712568316072753,0.0647086143496685,0.0741554632112009,0.150584066139385,0.0919974108023136,0.3070306032142745,,,,,,,,,0.2134091793297649,0.1245029669464424,0.12304897019728,0.074550791700179,0.2071880414778804,0.0966419113076894,0.0521838073905617,0.1084743316502018,0.2053920847645427,0.0928999731516753,0.1766492571373012,0.0779437293806175,0.2287662410299123,0.0740532190375599,0.0496055241888849,0.0946899713095059,0.1877629039756386,0.1707899897790595,0.0988150424522767,0.0936193474550225,0.1676902449266698,0.0973889741422723,0.048433008093524,0.1355004891755364
55,,,,,0.1774411615683553,5.192951052658927,0.151458272490108,4.811618822110332,0.1829544833762124,4.962059228368094,0.2289542698375941,4.996097617071776,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/55/output_349/pdbs/277.pdb,258467.03588601467,,,,,,,,,,,,,,,,,0.1883187639437971,0.1845599474280688,0.1228568277444207,0.0630508113517629,0.1563512456539043,0.0994152435162716,0.0563008978755314,0.129146262486243,0.1707090564501263,0.2154425789446468,0.135708096184682,0.0539801939285565,0.1220519934501554,0.1262063697376801,0.0563696183735114,0.1195320929306413,0.1702826493160111,0.1512689587336734,0.1395043763762522,0.0658198070176525,0.1575629733752038,0.1453957643923063,0.0564243671980981,0.1137411035908022,0.151840896683403,0.2493032498397071,0.1038442509766473,0.0693180159324858,0.1246545631785832,0.1351148017855647,0.0566590644314973,0.1092651571721113
56,0.3246837006070305,5.203161228545721,0.3037223012426346,5.086738164199739,0.1959935016453081,5.398287110370599,0.175732595693268,4.908132467200351,0.1872031564527537,5.023784368138899,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/56/output_168/pdbs/297.pdb,346106.3370961298,0.0486720849143027,0.096041686849129,0.1894751454427384,0.1064800846482785,0.2251990861584277,0.1403430458083069,0.0878628335898045,0.105926032589012,0.0455656627381626,0.1558969381473208,0.2956654891461933,0.0622721212160424,0.1533776499875059,0.0678249854759018,0.0700251300712364,0.1493720232176366,0.0984189902551674,0.1997869373734139,0.1281160685772028,0.065546367218455,0.0732316475631955,0.2220273185346954,0.0813989628978485,0.1314737075800212,0.1157152429317721,0.1903460440222468,0.1001379569042297,0.0592960239983231,0.126681054646524,0.1976637490067595,0.0585528959405421,0.1516070325496024,0.1373029215765386,0.2008514689501332,0.0612648563831433,0.056244136334246,0.1441404185287073,0.209957364022908,0.0517651805676604,0.1384736536366629,,,,,,,,
57,0.3268148896255575,5.204941003434878,0.2947107239990029,5.074411789077644,0.210941687832398,5.455664148302493,0.1922659283198465,4.9834518966072165,,,0.2305610301963616,5.047004406569564,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/57/output_232/pdbs/265.pdb,329011.510541753,0.1133825531986294,0.1167449212297097,0.1513715530409598,0.0956175340812803,0.2133277577332517,0.057675971722127,0.0898240177085184,0.1620556912855236,0.1556445574186007,0.101266040543629,0.2213080631616048,0.0508733359909998,0.1814911257302126,0.1070810637761958,0.0752942347426446,0.1070415786361126,0.2164084825804391,0.1606180514405164,0.0686967259313642,0.06000820458232,0.1334156218471681,0.1189746623064018,0.0603447538495059,0.1815334974622841,0.1992863974732941,0.1711180971356575,0.0476668480389883,0.0610381845188452,0.121257031743918,0.1574079209517595,0.0638112733594047,0.1784142467781321,,,,,,,,,0.2071487921390625,0.1270905198300927,0.059388549004621,0.0782936150627281,0.0974657541083465,0.1908264516194457,0.0663104957594847,0.1734758224762184
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
