,xray_0_min_0,xray_0_min_0_pdb,xray_0_min_0_rmsd,xray_0_min_0_rmsd_avg,xray_0_min_0_r_free_0
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_39/log.csv,3.8474304651146256,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_39/pdbs/378.pdb,0.2470928212929381,0.0881193781707505,0.0766039955845544
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_30/log.csv,3.761030407496485,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_30/pdbs/401.pdb,0.2538855565109485,0.1098796363508805,0.0736237847319678
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_9/log.csv,3.671461499880346,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_9/pdbs/322.pdb,0.2331829890963048,0.055103576254523,0.0667297542705233
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_23/log.csv,3.9255377301900056,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_23/pdbs/279.pdb,0.2595381904536767,0.1052551595995692,0.0851748744147726
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_16/log.csv,3.654238817296673,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_16/pdbs/323.pdb,0.1956416905799953,0.0422125242003068,0.0650138939356255
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_6/log.csv,4.180000156200502,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_6/pdbs/273.pdb,0.2367037272057867,0.0890034359104983,0.1110016750070288
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_12/log.csv,3.427004155594855,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_12/pdbs/330.pdb,0.2397858903278393,0.0551085748364422,0.0535073128122985
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_53/log.csv,3.4866975419575663,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_53/pdbs/369.pdb,0.2354655404805971,0.0527187513302043,0.0562932526618986
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_22/log.csv,4.254356023729431,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_22/pdbs/358.pdb,0.2301000018500829,0.1016942935701801,0.1182792426559352
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_17/log.csv,3.5588246792649114,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_17/pdbs/334.pdb,0.2495173266976223,0.0702713955892882,0.0591288945056345
