,N,J,w_xray,r_free,w_0_7mhl,r_work_7mhl,ff,pdb,cif_0
49,1.0,1.0,1.0,0.5192940374431766,1.0,0.4477722510999403,22675.66746553688,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/49/output_0/pdbs/31.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
50,1.0,1.0,2.0,0.535839744716238,1.0,0.4158362939901648,1857972.8651172735,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/50/output_7/pdbs/82.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
51,1.0,1.0,4.0,0.5263286343873913,1.0,0.4152492683511961,2912556.723258968,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/51/output_8/pdbs/74.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
52,1.0,1.0,8.0,0.5288587574052978,1.0,0.4024842016516924,4015864.070090661,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/52/output_5/pdbs/65.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
53,1.0,1.0,16.0,0.5350038644819136,1.0,0.477780001306028,220552.40691864165,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/53/output_3/pdbs/4.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
54,1.0,1.0,32.0,0.5368099785277434,1.0,0.475687798367084,231782.53997429612,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/54/output_7/pdbs/4.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
55,1.0,1.0,0.03125,0.5303131272509423,1.0,0.5297954452523389,2577.555681416033,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/55/output_4/pdbs/91.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
56,1.0,1.0,0.0625,0.5278414004627293,1.0,0.5246631270778981,3282.895666855469,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/56/output_9/pdbs/16.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
57,1.0,1.0,0.125,0.52240130228615,1.0,0.5188025980276135,3294.460418659833,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/57/output_7/pdbs/15.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
58,1.0,1.0,0.25,0.5150723748964904,1.0,0.4807711045741153,3241.808197634305,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/58/output_7/pdbs/131.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
59,1.0,1.0,0.5,0.5210922589374631,1.0,0.4605983235181892,5063.887751425552,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/59/output_5/pdbs/89.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
60,1.0,1.0,1.0,0.5249801601956801,1.0,0.4329836486246839,22347.595540485385,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/60/output_1/pdbs/83.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
61,1.0,1.0,2.0,0.517477459277034,1.0,0.389687828456918,1732777.9717471828,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/61/output_4/pdbs/63.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
62,1.0,1.0,4.0,0.5249645143952825,1.0,0.42369146505444,1087850.8527339206,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/62/output_3/pdbs/17.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
63,1.0,1.0,8.0,0.5293952091420707,1.0,0.4211677353793997,4053593.088200621,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/63/output_3/pdbs/123.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
64,1.0,1.0,16.0,0.5208211517836081,1.0,0.4073434626429071,4336935.238316335,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/64/output_9/pdbs/51.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
65,1.0,1.0,32.0,0.5352232853793538,1.0,0.4358686335530436,12436245024934.836,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/65/output_4/pdbs/132.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
66,1.0,1.0,0.03125,0.524625923728739,1.0,0.534140090864956,3148.1646062445534,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/66/output_4/pdbs/28.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
67,1.0,1.0,0.0625,0.5311333525391015,1.0,0.5186197282402933,2832.842891220648,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/67/output_4/pdbs/60.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
68,1.0,1.0,0.125,0.5233568281423701,1.0,0.5019068946270578,2775.5213823352187,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/68/output_9/pdbs/102.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
69,1.0,1.0,0.25,0.5206789489489246,1.0,0.4801090260905817,3375.052146306539,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/69/output_9/pdbs/119.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
70,1.0,1.0,0.5,0.5334958978610311,1.0,0.4778455217427119,5058.657184336521,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/70/output_1/pdbs/72.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
71,1.0,1.0,1.0,0.5372969956243618,1.0,0.4478794358731068,35103.99991141441,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/71/output_8/pdbs/73.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
72,1.0,1.0,2.0,0.5214816806062,1.0,0.4158158374129815,1821222.625394888,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/72/output_2/pdbs/46.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
73,1.0,1.0,4.0,0.5289255369298047,1.0,0.4075152979899279,1846170.2992220856,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/73/output_3/pdbs/29.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
74,1.0,1.0,8.0,0.5260758321495236,1.0,0.3964823097454052,51040850.68177606,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/74/output_1/pdbs/95.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
75,1.0,1.0,16.0,0.5276768050308625,1.0,0.4300429629139908,2565129.2260443694,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/75/output_0/pdbs/28.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
76,1.0,1.0,32.0,0.5266487628298598,1.0,0.4412223363690501,7571699.548917553,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/76/output_4/pdbs/56.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
77,1.0,1.0,0.03125,0.5229465898667277,1.0,0.5327948546968151,3573.4142222521346,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/77/output_2/pdbs/10.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
78,1.0,1.0,0.0625,0.5235498167231181,1.0,0.5292427546969043,3601.836246897642,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/78/output_0/pdbs/10.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
79,1.0,1.0,0.125,0.5271675371426604,1.0,0.5223342689114033,3591.601526601145,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/79/output_4/pdbs/12.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
80,1.0,1.0,0.25,0.5228555752881017,1.0,0.4856299745291895,3437.315093536578,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/80/output_2/pdbs/99.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
81,1.0,1.0,0.5,0.5162730447839018,1.0,0.4729244275647261,4927.150942238414,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/81/output_0/pdbs/121.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
82,1.0,1.0,1.0,0.5205048368869291,1.0,0.4381901611051535,18965.408708540057,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/82/output_3/pdbs/27.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
83,1.0,1.0,2.0,0.5313849884081747,1.0,0.4126984952940989,1446924.8242411176,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/83/output_4/pdbs/50.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
84,1.0,1.0,4.0,0.5282400105167019,1.0,0.410382414780898,3468880.328801086,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/84/output_0/pdbs/91.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
85,1.0,1.0,8.0,0.5398533795516022,1.0,0.4257484244779255,90850294306574.52,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/85/output_3/pdbs/116.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
86,1.0,1.0,16.0,0.538655631483459,1.0,0.4141779769252124,147482052.96761897,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/86/output_2/pdbs/75.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
87,1.0,1.0,32.0,0.5411762625818811,1.0,0.4350811027888495,4916052.161642292,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/87/output_5/pdbs/28.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
88,1.0,1.0,0.03125,0.5277570569917867,1.0,0.5377439216376658,2619.6235298045094,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/88/output_4/pdbs/78.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
89,1.0,1.0,0.0625,0.52171571924216,1.0,0.517818344588524,2581.5169899031825,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/89/output_2/pdbs/109.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
90,1.0,1.0,0.125,0.5196260252758689,1.0,0.4971568501720624,2712.498519297791,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/90/output_8/pdbs/124.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
91,1.0,1.0,0.25,0.5224081489273316,1.0,0.4930024263215413,3570.56351310006,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/91/output_0/pdbs/43.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
92,1.0,1.0,0.5,0.5274205567773871,1.0,0.4858828070111147,5123.447288366348,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/92/output_0/pdbs/34.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
93,1.0,1.0,1.0,0.5205175372740136,1.0,0.4648569055427392,20000.162063762626,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/93/output_2/pdbs/18.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
94,1.0,1.0,2.0,0.5265641074381235,1.0,0.4248788675187346,2816910.638187154,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/94/output_0/pdbs/94.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
95,1.0,1.0,4.0,0.5340231348251012,1.0,0.4335798526360345,2551673.213101608,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/95/output_1/pdbs/62.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
96,1.0,1.0,8.0,0.5339974584193009,1.0,0.4184742582968593,3658085.029953082,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/96/output_2/pdbs/44.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
97,1.0,1.0,16.0,0.5298357515785687,1.0,0.4156937572600856,102535449487.83195,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/97/output_5/pdbs/64.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
98,1.0,1.0,32.0,0.5215779637439166,1.0,0.4125706584529638,7.998266060136248e+31,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/98/output_5/pdbs/81.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
99,1.0,1.0,0.03125,0.5296936643277059,1.0,0.5337680079745137,4755.366609737471,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/99/output_6/pdbs/4.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
100,1.0,1.0,0.0625,0.5237017263909197,1.0,0.51852334356072,2612.974399792933,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/100/output_5/pdbs/128.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
101,1.0,1.0,0.125,0.5186622548680704,1.0,0.5036847754974488,2804.481302510695,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/101/output_4/pdbs/94.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
102,1.0,1.0,0.25,0.5101076649917609,1.0,0.4664530707543471,3429.311326276925,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/102/output_8/pdbs/110.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
103,1.0,1.0,0.5,0.5148364928417704,1.0,0.4585551223934965,5186.587807139086,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/103/output_3/pdbs/89.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
104,1.0,1.0,1.0,0.5289991972272847,1.0,0.46054833249118,28199.38810514402,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/104/output_4/pdbs/61.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
105,1.0,1.0,2.0,0.5270272537616885,1.0,0.4054775453510559,1299137.23785828,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/105/output_8/pdbs/37.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
106,1.0,1.0,4.0,0.532428544619023,1.0,0.4255644119654203,1846645.4012637476,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/106/output_3/pdbs/31.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
107,1.0,1.0,8.0,0.5267453235084564,1.0,0.421198173778943,9466101.285420911,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/107/output_5/pdbs/125.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
