,N,J,w_xray,r_free_7mhf,rmsd,r_work_7mhf,xray_7mhf,r_free_7mhg,r_work_7mhg,xray_7mhg,ff,pdb,w_0_7mhf,w_0_7mhg,w_1_7mhf,w_1_7mhg,cif_0,cif_1,r_free_7mhh,r_work_7mhh,xray_7mhh,w_0_7mhh,w_1_7mhh,r_free_7mhi,r_work_7mhi,xray_7mhi,w_0_7mhi,w_1_7mhi,r_free_7mhj,r_work_7mhj,xray_7mhj,w_0_7mhj,w_1_7mhj,r_free_7mhk,r_work_7mhk,xray_7mhk,w_0_7mhk,w_1_7mhk
26,2.0,2.0,0.5,,18.79719304548086,,,,,,47918.393425906375,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/13/output_450/pdbs/451.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,0.2956841882617786,0.2357009807420163,5.458685376969829,0.3881433939780936,0.6118566060219063,,,,,,0.327678743194266,0.248325595517729,5.527385169234633,0.6407845114363395,0.3592154885636605
27,2.0,2.0,0.5,,3.2192449115298816,,,,,,51987.641241729936,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/13/output_324/pdbs/243.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,0.304373842599197,0.2387264269918966,5.4628525545837325,0.4258208126427875,0.5741791873572125,,,,,,0.3089301995244258,0.2444172149769488,5.498354476480362,0.3259024569306297,0.6740975430693703
28,2.0,2.0,0.5,,21.468667895180097,,,,,,47908.1948647884,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/14/output_107/pdbs/437.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,0.3005463823142229,0.2325737141493541,5.552969375609292,0.4315166983953789,0.5684833016046211,0.3309973831128728,0.2485189130170433,5.524577926642953,0.6679369589628117,0.3320630410371883
29,2.0,2.0,0.5,,6.969989644712877,,,,,,49273.06000961919,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/14/output_434/pdbs/233.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,0.3202463405447819,0.2368601810924561,5.571295670254718,0.4359218069087382,0.5640781930912618,0.3081699695339264,0.2411145271889969,5.482985916044434,0.6152592520020047,0.3847407479979953
30,2.0,1.0,0.5,0.3071084602950847,1.9309208776855065,0.275010886781268,5.402220095896316,,,,46750.41055522914,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/15/output_223/pdbs/478.pdb,0.5786364682679929,,0.4213635317320071,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,,,,,,,,,,,,,,,,,,,,,
31,2.0,1.0,0.5,,1.7905548170393324,,,0.3103998534085044,0.2739308615474299,5.348715921641578,46245.740737930566,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/16/output_749/pdbs/459.pdb,,0.5359546432694354,,0.4640453567305646,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,,,,,,,,,,,,,,,,,,,,,
32,2.0,1.0,0.5,,20.225820242287448,,,,,,51993.39283089072,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/17/output_147/pdbs/401.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,,0.3244531710083657,0.2185203478703326,5.936208947702462,0.4422901147046585,0.5577098852953415,,,,,,,,,,,,,,,
33,2.0,1.0,0.5,,6.633596308161461,,,,,,51253.72049063958,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/18/output_905/pdbs/312.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,,,,,,,0.2959139492279697,0.2210545612613093,5.3914287208020895,0.5725025461615012,0.4274974538384988,,,,,,,,,,
34,2.0,1.0,0.5,,6.048336234814564,,,,,,52303.0520102118,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/19/output_211/pdbs/244.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,,,,,,,0.3091981455984005,0.2211098010674454,5.518574178591389,0.4930156449458964,0.5069843550541036,,,,,
35,2.0,1.0,0.5,,19.172902613103695,,,,,,51088.37180164538,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/20/output_864/pdbs/436.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,,,0.3168402419099079,0.230910588072896,5.454120846110195,0.4763143591563674,0.5236856408436327
