,state_id,job_id,w_xray_id,field,w_0_0,r_free_0,ff,pdb,r_free_1,w_1_0,w_xray,N
147,0.0,13.0,4.0,0.2959939950284794,1.0,0.2959939950284794,3934.859385503455,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j13_w4/output_9/pdbs/208.pdb,0.2980409166681661,,0.5,1
159,0.0,14.0,5.0,0.2827854304658751,1.0,0.2827854304658751,14397.068059736122,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j14_w5/output_9/pdbs/131.pdb,,,1.0,1
169,0.0,15.0,4.0,0.2580901385815761,1.0,0.2580901385815761,7461.035463207764,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j15_w4/output_4/pdbs/181.pdb,0.264644958134541,,0.5,1
180,0.0,16.0,4.0,0.300189117443669,1.0,0.300189117443669,1934.5900218874733,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j16_w4/output_5/pdbs/293.pdb,,,0.5,1
190,0.0,17.0,3.0,0.2763455756836032,1.0,0.2763455756836032,3295.111686732256,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j17_w3/output_6/pdbs/281.pdb,0.2728873318481989,,0.25,1
203,0.0,18.0,5.0,0.217027867360338,1.0,0.217027867360338,14819.007560456736,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j18_w5/output_3/pdbs/209.pdb,,,1.0,1
212,0.0,19.0,3.0,0.2121911438270214,1.0,0.2121911438270214,2237.017066188639,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j19_w3/output_0/pdbs/226.pdb,0.2132373046782226,,0.25,1
225,1.0,0.0,5.0,0.2505153002168166,0.5040042047110148,0.2505153002168166,17006.12942345052,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j0_w5/output_4/pdbs/273.pdb,,0.4959957952889852,1.0,2
235,1.0,1.0,4.0,0.2152809060674695,0.4926066103787984,0.2152809060674695,11941.3187185737,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j1_w4/output_2/pdbs/288.pdb,0.2024989322143822,0.5073933896212017,0.5,2
247,1.0,2.0,5.0,0.20039123545291,0.5105312527664925,0.20039123545291,24694.91612369441,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j2_w5/output_8/pdbs/234.pdb,,0.4894687472335075,1.0,2
256,1.0,3.0,3.0,0.1937116016962352,0.0753034789170889,0.1937116016962352,6517.597988237009,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j3_w3/output_8/pdbs/300.pdb,0.2212472724335076,0.9246965210829112,0.25,2
269,1.0,4.0,5.0,0.2544001165906967,0.5296106719804976,0.2544001165906967,14793.650559286629,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j4_w5/output_0/pdbs/297.pdb,,0.4703893280195024,1.0,2
278,1.0,5.0,3.0,0.2144545133697624,0.5369740691307566,0.2144545133697624,6176.634914580654,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j5_w3/output_9/pdbs/298.pdb,0.2256754689497246,0.4630259308692434,0.25,2
290,1.0,6.0,4.0,0.2662655703533471,0.5723575710250027,0.2662655703533471,6264.538246141785,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j6_w4/output_5/pdbs/243.pdb,,0.4276424289749973,0.5,2
301,1.0,7.0,4.0,0.2109698099538698,0.4465441456472329,0.2109698099538698,11414.917151804604,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j7_w4/output_3/pdbs/294.pdb,0.2069837141677633,0.5534558543527672,0.5,2
312,1.0,8.0,4.0,0.2365168648536691,0.2966544274819126,0.2365168648536691,6576.749049415812,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j8_w4/output_3/pdbs/265.pdb,,0.7033455725180875,0.5,2
322,1.0,9.0,3.0,0.2072225884022022,0.6340153952007939,0.2072225884022022,9276.308868806676,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j9_w3/output_0/pdbs/248.pdb,0.212366635497473,0.3659846047992061,0.25,2
334,1.0,10.0,4.0,0.1896109310545304,0.9409590501731572,0.1896109310545304,8363.44723657391,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j10_w4/output_6/pdbs/293.pdb,,0.059040949826843,0.5,2
344,1.0,11.0,3.0,0.1857236022877774,0.915923704618004,0.1857236022877774,8693.26391532679,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j11_w3/output_3/pdbs/165.pdb,0.1908518821258118,0.0840762953819961,0.25,2
357,1.0,12.0,5.0,0.2484959347743293,0.5063490037713848,0.2484959347743293,16135.775909824672,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j12_w5/output_2/pdbs/299.pdb,,0.4936509962286152,1.0,2
367,1.0,13.0,4.0,0.209540062859975,0.4826897673420459,0.209540062859975,11274.296003576546,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j13_w4/output_1/pdbs/285.pdb,0.2163434499203129,0.5173102326579541,0.5,2
378,1.0,14.0,4.0,0.2448556488615424,0.7130167231403357,0.2448556488615424,6270.945209053656,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j14_w4/output_0/pdbs/291.pdb,,0.2869832768596643,0.5,2
389,1.0,15.0,4.0,0.2084603697988766,0.3730438622131127,0.2084603697988766,17574.169701938106,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j15_w4/output_9/pdbs/124.pdb,0.2036596692303725,0.6269561377868873,0.5,2
401,1.0,16.0,5.0,0.2627659732921665,0.513246579673103,0.2627659732921665,14803.86949566023,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j16_w5/output_0/pdbs/219.pdb,,0.486753420326897,1.0,2
411,1.0,17.0,4.0,0.2172928119031593,0.4303135603519089,0.2172928119031593,17772.945696400264,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j17_w4/output_6/pdbs/288.pdb,0.2088461627947838,0.5696864396480912,0.5,2
422,1.0,18.0,4.0,0.202268336080529,0.9170018600581826,0.202268336080529,12620.734035079407,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j18_w4/output_9/pdbs/204.pdb,,0.0829981399418173,0.5,2
433,1.0,19.0,4.0,0.1885439844446147,0.4134084637904879,0.1885439844446147,12460.788442024004,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n1_j19_w4/output_0/pdbs/222.pdb,0.1917442199936062,0.5865915362095121,0.5,2
