,r_free,ff,pdb,w_0,cif_name,N,J,job_id,cifs,w_1
48,0.3250780779594239,9335.282287960516,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J12/output_119/pdbs/224.pdb,0.2752130328726812,0,2,1,12,0,0.7247869671273187
49,0.2876253672013707,9379.159630302158,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J13/output_174/pdbs/192.pdb,0.1844225568380938,0,2,2,13,"0,1",0.8155774431619062
50,0.2907674035211687,9080.785950631102,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J13/output_44/pdbs/223.pdb,0.2310024774687075,1,2,2,13,"0,1",0.7689975225312924
51,0.3235474149825099,8990.666439076795,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J14/output_22/pdbs/284.pdb,0.900646564140136,0,2,1,14,0,0.099353435859864
52,0.261262895444366,10038.567589577042,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J15/output_13/pdbs/254.pdb,0.0994830301929939,0,2,2,15,"0,1",0.900516969807006
53,0.2668659804224843,9864.335646449555,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J15/output_140/pdbs/249.pdb,0.8702593050938215,1,2,2,15,"0,1",0.1297406949061784
54,0.288022331448768,9726.25668324618,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J16/output_3/pdbs/206.pdb,0.1361153210694283,0,2,1,16,0,0.8638846789305716
55,0.2594254856053302,9777.90946437615,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J17/output_27/pdbs/229.pdb,0.1418678099840679,0,2,2,17,"0,1",0.8581321900159321
56,0.2609035680999531,9725.15178708413,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J17/output_49/pdbs/261.pdb,0.1210753349866087,1,2,2,17,"0,1",0.8789246650133912
57,0.2781924385799637,9188.167883894166,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J18/output_107/pdbs/229.pdb,0.048734042951821,0,2,1,18,0,0.951265957048179
58,0.2605935385491525,9400.443325814236,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J19/output_40/pdbs/281.pdb,0.9520806501854092,0,2,2,19,"0,1",0.0479193498145907
59,0.2623296626075751,9563.33036438869,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J19/output_185/pdbs/265.pdb,0.0475627800118471,1,2,2,19,"0,1",0.9524372199881528
