Unnamed: 0,r_free,ff,pdb,w_0,cif_name,N,J,job_id,cifs,w_1,rmsd
1809,0.3487503183979938,9863.288791027786,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J4/output_48/pdbs/276.pdb,0.8431137345453864,0,2,1,4,0,0.1568862654546135,0.8446804763863998
1886,0.3230420484249696,9368.430075897712,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J5/output_229/pdbs/233.pdb,0.2645929211516771,0,2,2,5,"0,1",0.7354070788483229,0.809622319425015
1952,0.3762970720548866,8992.986896030401,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J6/output_71/pdbs/276.pdb,0.1401317560375984,0,2,1,6,0,0.8598682439624015,0.9045800548180128
2012,0.3498142024297446,9007.193027689154,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J7/output_6/pdbs/287.pdb,0.8716022338019909,0,2,2,7,"0,1",0.1283977661980091,0.9255538306308296
2103,0.3556743116144811,9018.80607830106,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J8/output_42/pdbs/241.pdb,0.904788928158048,0,2,1,8,0,0.095211071841952,0.9320806615753756
2182,0.347094706665776,8939.692944774717,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J9/output_147/pdbs/267.pdb,0.1052520682558929,0,2,2,9,"0,1",0.8947479317441072,0.9198883716809528
2266,0.333990224723206,9350.809951542858,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J10/output_197/pdbs/215.pdb,0.0506451545387788,0,2,1,10,0,0.9493548454612212,1.0295982210951848
2303,0.3190944750963828,9333.283165020388,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J11/output_219/pdbs/279.pdb,0.9512799720191752,0,2,2,11,"0,1",0.0487200279808247,1.019028427763382
2403,0.351590915295266,9421.275909434826,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J12/output_172/pdbs/189.pdb,0.7814064043161206,0,2,1,12,0,0.2185935956838793,0.8438781202650497
2467,0.3253538496850022,9714.724316317765,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J13/output_55/pdbs/291.pdb,0.1619660719645375,0,2,2,13,"0,1",0.8380339280354624,0.8596199347101694
2558,0.3682038608196457,9171.051720313531,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J14/output_236/pdbs/250.pdb,0.8999448750899488,0,2,1,14,0,0.1000551249100511,1.000280187039016
2631,0.322066243598026,9995.976344107385,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J15/output_89/pdbs/239.pdb,0.91153395418213,0,2,2,15,"0,1",0.0884660458178701,1.0023431835720713
2743,0.3271768683465039,9885.075581509149,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J16/output_39/pdbs/281.pdb,0.8678482909523677,0,2,1,16,0,0.1321517090476323,0.8616666638684134
2792,0.3080270617668726,9849.446391960151,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J17/output_236/pdbs/291.pdb,0.8762946338894985,0,2,2,17,"0,1",0.1237053661105015,0.8858982831065013
2850,0.3208597845129077,9460.538661948754,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J18/output_243/pdbs/241.pdb,0.9496315778180824,0,2,1,18,0,0.0503684221819176,1.0585246593977753
2905,0.3119596263404603,9211.41177442751,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J19/output_1/pdbs/285.pdb,0.049673947476409,0,2,2,19,"0,1",0.950326052523591,1.0595236702165949
