,r_free,ff,rmsd,pdb,w_0,cif_name,n,N,j,J,cifs,out_dir_id,w_1
3064,0.3417021465486885,3290.911743334804,0.3855869017122109,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_202/pdbs/185.pdb,1.0,0,0,1,12,1,0,202,
3065,0.3481162141583335,3311.1593557574865,0.381237879163226,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_196/pdbs/263.pdb,1.0,0,0,1,12,1,0,196,
3066,0.3411569743555332,3296.299547277452,0.3720527281319377,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_39/pdbs/283.pdb,1.0,0,0,1,12,1,0,39,
3067,0.3416258885915939,3097.831106420921,0.3910808936799607,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_154/pdbs/294.pdb,1.0,0,0,1,12,1,0,154,
3068,0.3446521285291904,3203.230253513252,0.3976213438910037,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_182/pdbs/162.pdb,1.0,0,0,1,12,1,0,182,
3069,0.3368475666699199,3210.6909144803167,0.3842125733959106,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_72/pdbs/144.pdb,1.0,0,0,1,12,1,0,72,
3070,0.3394907915351519,3191.055000676789,0.3701458703797691,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_76/pdbs/133.pdb,1.0,0,0,1,12,1,0,76,
3071,0.3447137350253349,3281.684754822219,0.3739848497838574,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_32/pdbs/231.pdb,1.0,0,0,1,12,1,0,32,
3072,0.3367000990458817,3339.294047778709,0.3703510354467537,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_168/pdbs/225.pdb,1.0,0,0,1,12,1,0,168,
3073,0.3472039567654424,3244.7571102670795,0.3796260376688373,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_199/pdbs/261.pdb,1.0,0,0,1,12,1,0,199,
3074,0.3450858674026799,3158.5965606934724,0.3980576837465051,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_205/pdbs/161.pdb,1.0,0,0,1,12,1,0,205,
3075,0.3458788442596347,3302.9272703469305,0.3890962095767091,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_211/pdbs/175.pdb,1.0,0,0,1,12,1,0,211,
3076,0.3407755762053244,3265.906802191313,0.3766412909030123,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_207/pdbs/158.pdb,1.0,0,0,1,12,1,0,207,
3077,0.3403736223811673,3106.29946277202,0.3832236056260231,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_203/pdbs/280.pdb,1.0,0,0,1,12,1,0,203,
3078,0.3397172234881979,3268.9660098498284,0.3682118851452099,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_208/pdbs/155.pdb,1.0,0,0,1,12,1,0,208,
3079,0.3424652199101788,3256.165862710496,0.3708335923838933,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_3/pdbs/266.pdb,1.0,0,0,1,12,1,0,3,
3080,0.3436619421754651,3256.4117060549197,0.3696418430785523,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_79/pdbs/195.pdb,1.0,0,0,1,12,1,0,79,
3081,0.3441901439011471,3191.6702038180047,0.3833427267638295,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_217/pdbs/81.pdb,1.0,0,0,1,12,1,0,217,
3082,0.3381949920626362,3152.302634459126,0.3704168613034099,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_216/pdbs/296.pdb,1.0,0,0,1,12,1,0,216,
3083,0.3388378565156517,3269.326733375395,0.3734726488111207,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_118/pdbs/165.pdb,1.0,0,0,1,12,1,0,118,
3084,0.3400556356232254,3252.8427609074943,0.3727864877120881,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_218/pdbs/151.pdb,1.0,0,0,1,12,1,0,218,
3085,0.3434801427666091,3205.599139114342,0.3697664958269294,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_204/pdbs/173.pdb,1.0,0,0,1,12,1,0,204,
3086,0.3445230165855012,3149.8357128313487,0.3742303710735441,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_219/pdbs/243.pdb,1.0,0,0,1,12,1,0,219,
3087,0.3432256495366751,3204.0864995357624,0.35770511306162,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_210/pdbs/221.pdb,1.0,0,0,1,12,1,0,210,
3088,0.3438474436440434,3259.955164837705,0.3676505781411357,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_222/pdbs/193.pdb,1.0,0,0,1,12,1,0,222,
3089,0.3472209458126578,3270.759265128439,0.3898344922692097,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_121/pdbs/209.pdb,1.0,0,0,1,12,1,0,121,
3090,0.3453759035816952,3103.4298214032256,0.3767248464932287,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_220/pdbs/247.pdb,1.0,0,0,1,12,1,0,220,
3091,0.3478850980109232,3167.2410634682965,0.3695129248300957,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_74/pdbs/71.pdb,1.0,0,0,1,12,1,0,74,
3092,0.3398783886954305,3181.69753059936,0.3659089749162136,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_228/pdbs/293.pdb,1.0,0,0,1,12,1,0,228,
3093,0.3409488071774381,3158.064726244193,0.3691223953825661,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_232/pdbs/263.pdb,1.0,0,0,1,12,1,0,232,
3094,0.3437842841613752,3344.17791796843,0.382332158635559,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_230/pdbs/175.pdb,1.0,0,0,1,12,1,0,230,
3095,0.3444493751672103,3181.594303204135,0.3703802408903924,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_225/pdbs/291.pdb,1.0,0,0,1,12,1,0,225,
3096,0.3435692324854876,3207.5370646478864,0.3735967549239441,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_115/pdbs/271.pdb,1.0,0,0,1,12,1,0,115,
3097,0.3466482025756384,3183.8072561862523,0.3859236183432941,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_233/pdbs/62.pdb,1.0,0,0,1,12,1,0,233,
3098,0.344570782285428,3275.6729944813387,0.3716485194723457,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_227/pdbs/197.pdb,1.0,0,0,1,12,1,0,227,
3099,0.3430261521549574,3246.344130688264,0.3703248012370307,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_226/pdbs/143.pdb,1.0,0,0,1,12,1,0,226,
3100,0.3456879102056313,3216.7062589184297,0.3930657291233044,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_231/pdbs/238.pdb,1.0,0,0,1,12,1,0,231,
3101,0.3362358347667071,3144.729312088052,0.3785806534267822,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_206/pdbs/296.pdb,1.0,0,0,1,12,1,0,206,
3102,0.3516418991616449,3240.74252229109,0.3791907429738205,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_215/pdbs/231.pdb,1.0,0,0,1,12,1,0,215,
3103,0.3446675970080196,3288.629052339188,0.3876569447460441,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_209/pdbs/134.pdb,1.0,0,0,1,12,1,0,209,
3104,0.3420522267013083,3195.8063085250205,0.3903642334866574,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_214/pdbs/263.pdb,1.0,0,0,1,12,1,0,214,
