,index,job_id,cif_name,w_0,pdb,r_free,ff,N,J,w_1,w_2,w_3,w_4,w_5,w_6,w_7,delta,job_cif_str
38065,18867,62,7mhh,0.5546807143169898,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/18867.pdb,0.2472048995910167,5353.350911432975,2,6,0.4453192856830101,,,,,,,-0.005795100408983289,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
19330,132,1,7mhg,0.3364112191801814,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/132.pdb,0.3408683078568796,1022.5464344554356,2,1,0.6635887808198185,,,,,,,0.13586830785687962,7mhg
19990,792,6,7mhg,0.3946331539943646,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/792.pdb,0.3335698089342925,1472.1697081521345,2,2,0.6053668460056355,,,,,,,0.1285698089342925,"7mhf,7mhg"
23268,4070,22,7mhg,0.4995960026123828,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/4070.pdb,0.3243062207494967,1748.96851379587,2,3,0.5004039973876171,,,,,,,0.11930622074949673,"7mhf,7mhg,7mhi"
30926,11728,46,7mhg,0.345571751019816,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/11728.pdb,0.330496253515081,2383.8296154843847,2,4,0.654428248980184,,,,,,,0.125496253515081,"7mhf,7mhg,7mhj,7mhk"
35902,16704,58,7mhg,0.600968162029566,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/16704.pdb,0.3328315314448123,2644.488639877361,2,5,0.3990318379704339,,,,,,,0.12783153144481232,"7mhf,7mhg,7mhh,7mhj,7mhk"
37996,18798,62,7mhg,0.3395234456825327,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/18798.pdb,0.3404656944324337,3894.92093771443,2,6,0.6604765543174674,,,,,,,0.1354656944324337,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
19231,33,0,7mhf,0.3689888802524938,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/33.pdb,0.3435400314634458,1083.71003851535,2,1,0.6310111197475062,,,,,,,0.1195400314634458,7mhf
19862,664,6,7mhf,0.4606734222979827,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/664.pdb,0.3306839087211977,1373.742457129181,2,2,0.5393265777020172,,,,,,,0.10668390872119768,"7mhf,7mhg"
22823,3625,21,7mhf,0.3907264331788719,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/3625.pdb,0.3419857704687573,1833.2209287779108,2,3,0.6092735668211281,,,,,,,0.11798577046875727,"7mhf,7mhg,7mhh"
