,N,J,w_xray,r_free,w_0_7mhl,r_work_7mhl,ff,pdb,cif_0,w_1_7mhl,w_2_7mhl,w_3_7mhl,w_4_7mhl,w_5_7mhl,w_6_7mhl,w_7_7mhl,r_free_7mhm,r_work_7mhm,cif_1
43,4.0,2.0,1.0,0.3124970785617624,0.25,0.3183825029922416,2347.489036778954,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/43/output_2/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.25,0.25,0.25,,,,,0.3360898015765197,0.3396888904569545,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
44,4.0,2.0,10.0,0.3134171416252246,0.25,0.3182349092641192,2341.5032164673003,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/44/output_0/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.25,0.25,0.25,,,,,0.3360207162686132,0.3395514000457327,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
45,4.0,2.0,100.0,0.3133832710503969,0.25,0.3184070627295398,2304.8277948453638,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/45/output_4/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.25,0.25,0.25,,,,,0.3373991415339711,0.3407839723051598,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
46,4.0,2.0,1000.0,0.3124791753130683,0.25,0.3162867429254907,2346.0310794617994,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/46/output_6/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.25,0.25,0.25,,,,,0.3355566425729006,0.3385818406475112,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
47,4.0,2.0,10000.0,0.2193721818972813,0.3394070651758336,0.2141945197636392,12089.350691833415,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/47/output_9/pdbs/362.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.3247780737482961,0.2837066999922392,0.0521081610836309,,,,,0.2584895871066698,0.2466349117045473,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
48,4.0,2.0,100000.0,0.2715578031921977,0.25,0.2610635726026513,18304.537182133077,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/48/output_6/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.25,0.25,0.25,,,,,0.2589709957588378,0.2497836679874898,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
50,8.0,2.0,1.0,0.3125940526711496,0.125,0.3166536889324124,4605.7356552665615,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/50/output_2/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.3360104090364731,0.3384036723687523,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
51,8.0,2.0,10.0,0.3132666858168014,0.125,0.3177442040532985,4640.9508148845,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/51/output_5/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.3366863412327652,0.3390074533803726,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
52,8.0,2.0,100.0,0.3100289003609643,0.125,0.3178815146567716,4611.271688213197,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/52/output_2/pdbs/3.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.3357846885289117,0.3402557698786743,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
53,8.0,2.0,1000.0,0.3099025992253753,0.125,0.3156282901873189,4626.24632142002,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/53/output_3/pdbs/3.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.333612210406798,0.3372896270194657,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
54,8.0,2.0,10000.0,0.2192100917748074,0.1619790765574975,0.2082288794228437,11026.770628863433,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/54/output_5/pdbs/45.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.1434467865165363,0.1373183009654538,0.0159316473363212,0.1539391811320497,0.1695845690121125,0.0651262532356596,0.1526741852443692,0.2389399446472571,0.225289891007028,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
55,8.0,2.0,100000.0,0.2459013845752551,0.125,0.2392348790260234,55908.07645162466,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/55/output_4/pdbs/6.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.2277046557126095,0.2280356855832511,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
