,N,J,w_xray,r_free,w_0_7mhf,ff,pdb,cif_0,w_0_7mhg,w_0_7mhh,w_0_7mhi,w_0_7mhj,w_0_7mhk,r_free_7mhg,cif_1,r_free_7mhh,r_free_7mhi,r_free_7mhj,r_free_7mhk,cif_2,cif_3,cif_4,cif_5,w_1_7mhf,w_1_7mhg,w_1_7mhh,w_1_7mhi,w_1_7mhj,w_1_7mhk,w_2_7mhf,w_3_7mhf,w_2_7mhg,w_3_7mhg,w_2_7mhh,w_3_7mhh,w_2_7mhi,w_3_7mhi,w_2_7mhj,w_3_7mhj,w_2_7mhk,w_3_7mhk,w_4_7mhf,w_5_7mhf,w_6_7mhf,w_7_7mhf,w_4_7mhg,w_5_7mhg,w_6_7mhg,w_7_7mhg,w_4_7mhh,w_5_7mhh,w_6_7mhh,w_7_7mhh,w_4_7mhi,w_5_7mhi,w_6_7mhi,w_7_7mhi,w_4_7mhj,w_5_7mhj,w_6_7mhj,w_7_7mhj,w_4_7mhk,w_5_7mhk,w_6_7mhk,w_7_7mhk,w_8_7mhf,w_9_7mhf,w_10_7mhf,w_11_7mhf,w_12_7mhf,w_13_7mhf,w_14_7mhf,w_15_7mhf,w_8_7mhg,w_9_7mhg,w_10_7mhg,w_11_7mhg,w_12_7mhg,w_13_7mhg,w_14_7mhg,w_15_7mhg,w_8_7mhh,w_9_7mhh,w_10_7mhh,w_11_7mhh,w_12_7mhh,w_13_7mhh,w_14_7mhh,w_15_7mhh,w_8_7mhi,w_9_7mhi,w_10_7mhi,w_11_7mhi,w_12_7mhi,w_13_7mhi,w_14_7mhi,w_15_7mhi,w_8_7mhj,w_9_7mhj,w_10_7mhj,w_11_7mhj,w_12_7mhj,w_13_7mhj,w_14_7mhj,w_15_7mhj,w_8_7mhk,w_9_7mhk,w_10_7mhk,w_11_7mhk,w_12_7mhk,w_13_7mhk,w_14_7mhk,w_15_7mhk
205,8.0,2.0,0.5,0.2326138438616384,,24988.997988669187,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2259/output_4/pdbs/132.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,,0.0988864446879266,,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,,,0.2412067848098964,,,,,,,,0.1131358352923123,,,,,,,,0.104724444458224,0.0908578299125162,,,,,,,,,,,,,,,0.0920377918701027,0.2161886653130004,0.0478754081389423,0.2362935803269752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,8.0,2.0,0.25,0.2599131177511201,,14855.47194078768,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2269/output_2/pdbs/298.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,,0.190482294096409,,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,,,,0.2793951289510252,,,,,,,0.1175503466800185,,,,,,,,0.1984259937089073,0.0529372704507237,,,,,,,,,,,,,,,0.123429916981762,0.1462668538699545,0.0790287530535538,0.0918785711586706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,8.0,2.0,0.5,0.2180969074472112,,23949.31915130435,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2281/output_3/pdbs/283.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,,,0.1257375316698059,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,,,0.2312843334191976,,,,,,,,,0.131238399948193,,,,,,,,,0.1853635079081319,0.0599755818526739,,,,,,,,,,,,,,,,,0.1652270262419411,0.108734024090432,0.0802282307164531,0.1434956975723689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,8.0,2.0,0.5,0.2405905533001717,,23429.18003955293,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2292/output_2/pdbs/72.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,,,0.1267738440526141,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,,,,0.2568340248870333,,,,,,,,0.2142361003801523,,,,,,,,,0.0725817292854665,0.059968268776548,,,,,,,,,,,,,,,,,0.0750286088589373,0.2216248511441277,0.075321038084245,0.1544655594179089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,8.0,2.0,0.5,0.2544971898618762,,22968.2729970655,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2303/output_3/pdbs/161.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,,,,0.1577728928071154,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,,,,0.2619471091992618,,,,,,,,,0.1783587146400873,,,,,,,,,,0.145263333693546,0.0654816841101046,,,,,,,,,,,,,,,,,,,0.0910326627795068,0.1891079136168507,0.0519877873237574,0.1209950110290314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,8.0,3.0,0.25,0.2918503095362481,0.0368486564598492,15178.853620270824,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2313/output_0/pdbs/154.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhf.cif,,,,,,0.30403494943747,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhg.cif,0.3036284321048762,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,,,,0.0856152860213307,,,,,,0.1089354939094769,0.0674714958386651,,,,,,,,,,,0.23010126295772,0.2418208029573625,0.0467400237493103,0.182466978106285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,8.0,3.0,0.5,0.290957365188411,0.0932329747070516,24179.06647284382,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2325/output_0/pdbs/298.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhf.cif,,,,,,0.2818537679964705,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhg.cif,,0.2918271628492427,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,,,,0.0536211061833467,,,,,,0.2695669530862544,0.0530505379816813,,,,,,,,,,,0.104338991254012,0.1219711641566843,0.0538759138630116,0.2503423587679579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,8.0,3.0,0.25,0.2944588722899331,0.1942529966417408,12907.028673965342,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2335/output_3/pdbs/294.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhf.cif,,,,,,0.2884977389016873,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhg.cif,,,0.3165432433611912,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,,,,0.1642945081671854,,,,,,0.0602936994313383,0.054730685856326,,,,,,,,,,,0.2228150562766797,0.082472443700439,0.053201657064775,0.1679389528615154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,8.0,3.0,0.25,0.2921991562342391,0.1348872027213338,13561.639132009414,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2346/output_2/pdbs/299.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhf.cif,,,,,,0.275021147217085,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhg.cif,,,,0.306869208404333,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,,,,0.2438220656373805,,,,,,0.1271584239902897,0.0510213778070484,,,,,,,,,,,0.1240770544388524,0.2060414861698207,0.054851106269162,0.0581412829661121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,8.0,3.0,0.25,0.3153684216717162,0.0513525114310362,15374.74208693168,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2357/output_0/pdbs/50.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhf.cif,,,,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,0.2557137727522166,0.2662765811420062,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,,,,0.2235474994032349,,,,,,0.1063584564923174,0.050962173949904,,,,,,,,,,,0.1503531196654172,0.1389936757875365,0.0592193035622298,0.2192132597083238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
