,xray_native_3_1,ff,w_1_native_3_1,rmsd_native_3_1,r_free_native_3_1,w_0_native_3_1,rmsd,pdb,r_work_native_3_1,out_id
23,3.9628818587499546,11798.99416602068,0.3531958071337896,,0.1620644255225583,0.6468041928662104,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_951/pdbs/416.pdb,0.1447888403834388,951
24,5.037611158924762,8.650050288512023e+19,0.2946612543031873,,0.5452774427867607,0.7053387456968127,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_484/pdbs/334.pdb,0.4231816480829886,484
25,4.268654219891458,19020.992987942343,0.921956988324122,,0.2177371843885542,0.0780430116758779,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_177/pdbs/3.pdb,0.1866147117331697,177
26,3.927491335823095,13470.148670923496,0.6287067488309255,,0.1512546524663173,0.3712932511690746,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_669/pdbs/365.pdb,0.1397109378898409,669
27,4.193186261919182,20825.107911528987,0.0051326958477379,,0.2284452245992679,0.994867304152262,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_857/pdbs/425.pdb,0.2012561368972323,857
28,3.96226202623171,11638.37925943184,0.3350180117055092,,0.1586113420270354,0.6649819882944907,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_69/pdbs/300.pdb,0.1428417490997834,69
29,4.224705946906817,19918.44180922673,0.1217533364865079,,0.2265927170887518,0.878246663513492,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_236/pdbs/157.pdb,0.201063453410164,236
30,3.8826304218613337,18764.1665862338,0.5610968028966737,,0.1491143453516198,0.4389031971033262,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_118/pdbs/143.pdb,0.1323302057595571,118
31,4.626606548373625,48896.27917819971,0.8469203806895685,,0.3438001739460029,0.1530796193104314,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_991/pdbs/474.pdb,0.2822772023756943,991
32,4.1235865130356295,23096.166650728,0.848087812865507,,0.2013062812911353,0.151912187134493,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_811/pdbs/160.pdb,0.1809388447887962,811
33,3.990276498410685,9813.173278544537,0.2893957952863317,,0.165009006979157,0.7106042047136683,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_282/pdbs/456.pdb,0.1492763656739477,282
