,xray_0_min_0,xray_0_min_0_pdb,xray_0_min_0_rmsd_avg,xray_0_min_0_r_free_0
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_192/log.csv,4.976870184214326,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_192/pdbs/830.pdb,0.3407086182175654,0.3939890263307322
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_174/log.csv,4.950824806462411,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_174/pdbs/840.pdb,0.4330722982173631,0.4158389699284685
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_127/log.csv,5.062109208617772,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_127/pdbs/362.pdb,0.3498264132188797,0.4114438440769947
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_89/log.csv,4.944842731048972,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_89/pdbs/654.pdb,0.3573799974053318,0.3943581515563445
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_66/log.csv,5.071295193280524,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_66/pdbs/224.pdb,0.3820517466185965,0.4112534059537488
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_205/log.csv,5.101345545560294,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_205/pdbs/686.pdb,0.4482465884032655,0.4309985773056357
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_115/log.csv,5.104309434419775,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_115/pdbs/173.pdb,0.4278577299575762,0.4272593266578017
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_102/log.csv,4.929208936449871,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_102/pdbs/621.pdb,0.4265706828618323,0.4026107543981976
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_113/log.csv,5.078634611043691,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_113/pdbs/439.pdb,0.4307327167026036,0.409278473930445
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_137/log.csv,5.077501957623619,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_137/pdbs/244.pdb,0.4025304766883036,0.4147851241047847
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_77/log.csv,5.26863416181135,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_77/pdbs/563.pdb,0.4651879143218158,0.4363180397989407
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_210/log.csv,4.936274563562482,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_210/pdbs/125.pdb,0.3685248582703547,0.3927914693216848
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_180/log.csv,5.081233075076849,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_180/pdbs/700.pdb,0.4141753694492208,0.415844377794332
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_57/log.csv,4.927350193724556,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_57/pdbs/360.pdb,0.4093600122147154,0.3917932763545936
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_76/log.csv,4.976313619524858,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_76/pdbs/273.pdb,0.3787342484112501,0.4054003474645982
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_49/log.csv,4.978433617320955,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_49/pdbs/122.pdb,0.414480709976443,0.4092051319093756
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_24/log.csv,4.887213253649846,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_24/pdbs/727.pdb,0.3691536175320643,0.3805989651165663
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_59/log.csv,4.938865750450352,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_59/pdbs/468.pdb,0.3807412663654661,0.3963810661124975
