,state_id,job_id,w_xray_id,field,r_free_7mhf,ff,pdb,r_free_7mhg,r_free_7mhh,r_free_7mhi,r_free_7mhj,r_free_7mhk,w_xray,N
708,1.0,1.0,4.0,0.2829604491568823,,7802.692033743344,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J1_W4/output_3/pdbs/282.pdb,0.2829604491568823,,,,,0.5,2
719,1.0,2.0,4.0,0.2968880011357847,,10847.851417974844,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J2_W4/output_2/pdbs/83.pdb,,0.2968880011357847,,,,0.5,2
730,1.0,3.0,4.0,0.2764507955547294,,9720.76532219833,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J3_W4/output_4/pdbs/91.pdb,,,0.2764507955547294,,,0.5,2
741,1.0,4.0,4.0,0.2872334876010444,,9826.122842070525,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J4_W4/output_0/pdbs/100.pdb,,,,0.2872334876010444,,0.5,2
751,1.0,5.0,3.0,0.3024583252760745,,8370.290392550956,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J5_W3/output_1/pdbs/146.pdb,,,,,0.3024583252760745,0.25,2
763,1.0,6.0,4.0,0.5508279017797035,0.2790002436402813,9070.97767115604,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J6_W4/output_0/pdbs/57.pdb,0.2718276581394222,,,,,0.5,2
774,1.0,7.0,4.0,0.608567249748588,0.3212381601083441,10628.659071852317,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J7_W4/output_1/pdbs/280.pdb,,0.2873290896402439,,,,0.5,2
785,1.0,8.0,4.0,0.6153433062619267,0.3277227779810883,10357.26145306262,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J8_W4/output_4/pdbs/67.pdb,,,0.2876205282808384,,,0.5,2
795,1.0,9.0,3.0,0.630812536381433,0.3345571629888838,7865.833028249292,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J9_W3/output_1/pdbs/204.pdb,,,,0.2962553733925491,,0.25,2
807,1.0,10.0,4.0,0.6142379349469914,0.3230694358330345,10401.730872787608,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J10_W4/output_3/pdbs/87.pdb,,,,,0.2911684991139569,0.5,2
817,1.0,11.0,3.0,0.585484966500808,,7748.705782029604,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J11_W3/output_1/pdbs/138.pdb,0.310251701432887,0.275233265067921,,,,0.25,2
829,1.0,12.0,4.0,0.5721268454127525,,9902.299382017894,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J12_W4/output_4/pdbs/22.pdb,0.2922410926267016,,0.2798857527860509,,,0.5,2
840,1.0,13.0,4.0,0.6047211096345215,,10176.012522064351,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J13_W4/output_4/pdbs/203.pdb,0.3044674926587956,,,0.300253616975726,,0.5,2
851,1.0,14.0,4.0,0.5707133788334224,,9931.938116323628,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J14_W4/output_3/pdbs/294.pdb,0.2900842889203971,,,,0.2806290899130254,0.5,2
863,1.0,15.0,5.0,0.4268644966680966,,132515.63114511236,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J15_W5/output_2/pdbs/58.pdb,,0.2005157295156287,0.226348767152468,,,1.0,2
874,1.0,16.0,5.0,0.4591872286322755,,117366.46437715185,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J16_W5/output_2/pdbs/78.pdb,,0.2159966144798742,,0.2431906141524014,,1.0,2
885,1.0,17.0,5.0,0.5169283199835782,,125794.49788533924,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J17_W5/output_1/pdbs/227.pdb,,0.2490869356699156,,,0.2678413843136626,1.0,2
896,1.0,18.0,5.0,0.4491000806045713,,94197.07400356444,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J18_W5/output_2/pdbs/298.pdb,,,0.2058893608588465,0.2432107197457248,,1.0,2
907,1.0,19.0,5.0,0.4932918546405088,,155993.54815409292,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J19_W5/output_2/pdbs/264.pdb,,,0.2255935399032037,,0.2676983147373051,1.0,2
917,1.0,20.0,4.0,0.5283359901957239,,12916.873556381592,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J20_W4/output_1/pdbs/284.pdb,,,,0.2624610532434903,0.2658749369522335,0.5,2
928,1.0,21.0,4.0,0.8638762817875665,0.2941993548859687,11468.013785773868,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J21_W4/output_2/pdbs/283.pdb,0.2816640244428032,0.2880129024587946,,,,0.5,2
939,1.0,22.0,4.0,0.8701274162001541,0.2989441234979988,11481.288025416434,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J22_W4/output_1/pdbs/195.pdb,0.2826143179579933,,0.288568974744162,,,0.5,2
950,1.0,23.0,4.0,0.8878625811431893,0.2982896231636908,11093.36664796087,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J23_W4/output_4/pdbs/88.pdb,0.2814963077181246,,,0.3080766502613739,,0.5,2
961,1.0,24.0,4.0,0.8481847162403253,0.292120556138506,11031.488804795285,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J24_W4/output_2/pdbs/255.pdb,0.2727781415237094,,,,0.2832860185781098,0.5,2
973,1.0,25.0,5.0,0.8072809454876412,0.3961944714603247,560653.3576658933,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J25_W5/output_1/pdbs/127.pdb,,0.1823772994685965,0.22870917455872,,,1.0,2
984,1.0,26.0,5.0,0.8420615448376157,0.3469891158979659,257968.9372535948,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J26_W5/output_1/pdbs/17.pdb,,0.2290902039660594,,0.2659822249735905,,1.0,2
994,1.0,27.0,4.0,0.8508218909427538,0.331572093230667,14286.981157349386,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J27_W4/output_2/pdbs/36.pdb,,0.2539511445282155,,,0.2652986531838714,0.5,2
1006,1.0,28.0,5.0,0.8429298582557372,0.4004685581655933,233889.079600203,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J28_W5/output_0/pdbs/246.pdb,,,0.1968658291048431,0.2455954709853008,,1.0,2
1016,1.0,29.0,4.0,0.8504201734152701,0.3429395624249312,14378.04002871099,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J29_W4/output_0/pdbs/98.pdb,,,0.253513136509031,,0.2539674744813079,0.5,2
