,N,J,w_xray,r_free_7mhf,rmsd,r_work_7mhf,xray_7mhf,r_free_7mhg,r_work_7mhg,xray_7mhg,ff,pdb,w_0_7mhf,w_0_7mhg,w_1_7mhf,w_1_7mhg,w_2_7mhf,w_2_7mhg,w_3_7mhf,w_3_7mhg,cif_0,cif_1,r_free_7mhh,r_work_7mhh,xray_7mhh,w_0_7mhh,w_1_7mhh,w_2_7mhh,w_3_7mhh,r_free_7mhi,r_work_7mhi,xray_7mhi,w_0_7mhi,w_1_7mhi,w_2_7mhi,w_3_7mhi,r_free_7mhj,r_work_7mhj,xray_7mhj,w_0_7mhj,w_1_7mhj,w_2_7mhj,w_3_7mhj,r_free_7mhk,r_work_7mhk,xray_7mhk,w_0_7mhk,w_1_7mhk,w_2_7mhk,w_3_7mhk
20,4.0,2.0,1.0,,0.6503117558653131,,,,,,5287.906971224551,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/10/output_861/pdbs/4_7mhh.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,0.2559510627687237,0.1747655351373208,5.642610545334737,0.1544533216557025,0.4126480837897465,0.310499148175931,0.1223994463786199,,,,,,,,,,,0.3036098699037479,0.1067596045718327,0.2726948252708513,0.3169357002535681,,,,,,,
21,4.0,2.0,1.0,,0.4329503723603867,,,,,,4830.631029608901,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/10/output_420/pdbs/2_7mhj.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,0.183580067766025,0.2890995306272179,0.06177583658144,0.4655445650253171,,,,,,,,0.2516154995109475,0.1820879035027592,5.202884561226953,0.3832450698974504,0.0708151828289368,0.0675297678503442,0.4784099794232685,,,,,,,
22,4.0,2.0,1.0,,0.6335190337478307,,,,,,5705.555940864716,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/11/output_491/pdbs/4_7mhh.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,0.2510373361247311,0.1740694094055616,5.643732100531129,0.3149719918487225,0.2109953070954218,0.3617376953011371,0.1122950057547186,,,,,,,,,,,,,,,,,,0.027113921163065,0.1337357859549092,0.456335759557865,0.3828145333241607
23,4.0,2.0,1.0,,0.649995552764189,,,,,,5188.120268609123,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/11/output_481/pdbs/6_7mhk.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,0.3325486288991637,0.4291684180665071,0.1941657061334462,0.044117246900883,,,,,,,,,,,,,,,0.2620528201713026,0.1900400058943057,5.092711592177707,0.240544805438775,0.3838092714798994,0.2895174670465537,0.0861284560347719
24,4.0,2.0,1.0,,0.5381304588896572,,,,,,5854.468161411267,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/12/output_623/pdbs/3_7mhi.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,,,0.2401962826901149,0.1804110491381873,5.113723297458768,0.3018557551029401,0.2586710059221096,0.3144695457616523,0.1250036932132977,,,,0.263462590779281,0.0494322536105042,0.368260381569979,0.3188447740402356,,,,,,,
25,4.0,2.0,1.0,,0.6656340180592326,,,,,,7101.33795787579,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/12/output_12/pdbs/10_7mhj.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,,,,,,0.3151407934366312,0.4090015477324034,0.0789847380413019,0.1968729207896634,0.2457287222847067,0.1735776156886952,5.158044967951189,0.2874148855477406,0.0942468270388435,0.3088040091060006,0.3095342783074152,,,,,,,
26,4.0,2.0,1.0,,0.5770990735059823,,,,,,5348.72438825115,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/13/output_263/pdbs/3_7mhi.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,0.23985674080147,0.1808861110076713,5.107755386910288,0.2345747968064665,0.3901922329443535,0.1294843815200846,0.2457485887290953,,,,,,,,,,,0.0941666836674682,0.6499987365355625,0.0702159179484236,0.1856186618485457
27,4.0,2.0,1.0,,0.5786489906417122,,,,,,4829.144639250466,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/13/output_57/pdbs/3_7mhk.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,0.1208469694506226,0.3084318071267715,0.5019770953163842,0.0687441281062215,,,,,,,,0.2647439985786513,0.1917179108349843,5.114121624347761,0.0893923483452373,0.1801637862882415,0.4158581063926292,0.3145857589738918
28,4.0,2.0,1.0,,0.5602128650190181,,,,,,5059.402076071978,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/14/output_142/pdbs/3_7mhj.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,0.2485458940304636,0.1816993878792571,5.198976144319649,0.3318810144313556,0.1089420995419155,0.1474914204439164,0.4116854655828124,,,,0.2955137706912272,0.0376665162799675,0.2890959917496064,0.3777237212791988
29,4.0,2.0,1.0,,0.6268137625110228,,,,,,5099.56678754992,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/14/output_303/pdbs/4_7mhk.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,,,,0.2029723978565269,0.0567797415943752,0.3130437432109251,0.4272041173381727,0.2599353276473644,0.1915193788463349,5.103414545775587,0.4120672487198809,0.2536167424409292,0.1117049867644471,0.2226110220747428
30,4.0,1.0,1.0,0.2244841795165514,0.3000059226455102,0.1826705109885676,5.125880831869929,,,,9001.61095237033,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/15/output_718/pdbs/2_7mhf.pdb,0.1139993784122417,,0.4455512585709789,,0.4139593325411222,,0.0264900304756571,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4.0,1.0,1.0,,0.4224147194188541,,,0.2281427931722432,0.1812916089973651,5.011793559427852,7543.61222863092,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/16/output_742/pdbs/3_7mhg.pdb,,0.3935426634633534,,0.1806231221858409,,0.0693353796722698,,0.3564988346785357,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4.0,1.0,1.0,,0.5841194893066609,,,,,,4844.795266539481,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/17/output_686/pdbs/3_7mhh.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,,0.2530624020204393,0.1765597814978335,5.645787251602561,0.3966872962253265,0.1392585801954754,0.3004677200860589,0.163586403493139,,,,,,,,,,,,,,,,,,,,,
33,4.0,1.0,1.0,,0.3980169466189557,,,,,,4779.387284626682,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/18/output_140/pdbs/2_7mhi.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,,,,,,,,,0.2417084323060681,0.1818772467055625,5.1151250094321625,0.0533862436414413,0.3436727150207722,0.210893174813749,0.3920478665240375,,,,,,,,,,,,,,
34,4.0,1.0,1.0,,0.677572436878573,,,,,,6482.620709935354,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/19/output_994/pdbs/5_7mhj.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,,,,,,,,,,,0.2481302725142673,0.1815488876258158,5.185589988938489,0.3332660402494965,0.1892612275311834,0.3059270463472346,0.1715456858720853,,,,,,,
35,4.0,1.0,1.0,,0.3403831433492351,,,,,,4327.421992058808,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/20/output_620/pdbs/2_7mhk.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,,,,,,,,,0.2663633667492089,0.19292901214345,5.119141108596554,0.2568875600925151,0.1804190334421243,0.2621935553091902,0.3004998511561703
